custom_id,error,model,Q1,Q2,Q3,Q4,in_actual
samples_table_GSE189047.csv,,gpt-5-mini-2025-08-07,No | evidence: Sample table lists A549 cell line samples (GPL30971_Source name: 'Lung cancer cell line A549'); no columns for survival time or status (OS/PFS/RFS) present. | justification: This is an in vitro cell line experiment (A549) with no patient-level clinical follow-up data; therefore no survival time/status is available.,"No | stage i evidence: Samples are labeled as A549 cell line; no patient staging information or counts of stage I patients provided. | act evidence: No explicit adjuvant chemotherapy (ACT) annotation appears in the sample metadata (treatments are vehicle, TGFb, Crizotinib, TGFb_Crizotinib). | justification: Dataset contains only cell-line treatment conditions, so criteria requiring >50% stage I patients or ACT annotation cannot be assessed and are not met.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset is an A549 cell-line gene expression study without any patient-level clinical data (no survival times/status) and without stage or adjuvant chemotherapy annotations; it therefore fails both inclusion criteria.,No,False
samples_table_GSE10096.csv,,gpt-5-mini-2025-08-07,"No | evidence: Description mentions Kaplan-Meier curves and 'decreasing animal survival' and notes 10 mice/group and intracardiac injection — survival data are from animal experiments/cell line metastasis assays, not patient data. | justification: Inclusion criterion requires patient-specific survival time/status. This dataset reports survival in mouse models (preclinical), not human patient survival times or status.","No | stage i evidence: No clinical staging provided; samples are described as human NSCLC-derived cell lines with bone tropism, not patient cohorts with stage annotations. | act evidence: No mention of adjuvant chemotherapy annotation in the sample or characteristics fields. | justification: Dataset comprises cell lines and animal metastasis experiments without patient-level clinical stage or treatment (ACT) metadata; therefore it cannot meet the >50% Stage I or explicit ACT annotation requirement.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset is preclinical (cell lines and mouse metastasis models). It lacks patient-specific survival time/status and contains no clinical stage or adjuvant chemotherapy annotations, so it does not meet either inclusion criterion.",No,False
samples_table_GSE27606.csv,,gpt-5-mini-2025-08-07,"No | evidence: Column headers and sample table include: 'Days between sample collection', 'Stage', 'Dx', 'Age', 'Sex', 'Surgery' (PRE/POST). No fields for overall survival (OS), progression-free survival (PFS), recurrence-free survival (RFS), survival time, or survival status are present. | justification: The dataset describes paired pre- and post-surgery PBMC samples and includes timing between collections, but provides no patient-specific survival time or event/status information.","Yes | stage i evidence: Stage annotations present for 22 samples: 14 samples annotated as stage I (1A or 1B) and 8 samples as stage III (3A/3B) — ~64% are stage I. | act evidence: No explicit adjuvant chemotherapy (ACT) annotation present in the provided metadata. | justification: The cohort composition meets the >50% stage I requirement (14/22 samples are stage I), but there is no explicit ACT annotation.","meets survival criterion: No | meets stage or act criterion: Yes | justification: Although the dataset meets the stage I majority requirement, it lacks any patient-level survival time/status data, which is a mandatory inclusion criterion.",No,False
samples_table_GSE38054.csv,,gpt-5-mini-2025-08-07,"No | evidence: Sample records list GSM933076-81 as 'human lung cancer cell line mutated in KRAS, NSCLC H358' with treatment labels (vehicle/DAPT). No fields for patient survival time or status are present. | justification: Dataset consists of cell line experiment samples (H358) and contains no patient-level clinical data such as overall survival, progression-free survival, or event status.","No | stage i evidence: No patient staging information is provided; all samples are labeled as an NSCLC cell line (H358). | act evidence: No annotation indicating adjuvant chemotherapy or patient treatment status is present; treatments refer to in vitro drug exposure (DAPT) vs vehicle. | justification: Because this is an in vitro cell line dataset, there is no information about patient stage distribution or adjuvant chemotherapy annotations.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient survival time/status and any clinical staging or adjuvant chemotherapy annotations. It is experimental cell line data, so it does not meet the inclusion criteria.",No,False
samples_table_GSE240758.csv,,gpt-5-mini-2025-08-07,"No | evidence: Provided sample table contains columns: GPL33669_Group, GPL33669_Accession, GPL33669_Title, GPL33669_Source name, GPL33669_Disease, GPL33669_Age, GPL33669_Race, GPL33669_Sex, GPL33669_Stage. No patient-specific survival time or status fields (e.g., OS_time, OS_status, PFS_time, vital_status) are present. | justification: The dataset lists clinical/demographic fields and stage but does not include any survival time or event/status variables required by criterion 1.","No | stage i evidence: NSCLC samples: 4 Adenocarcinoma (stages IV, III, I, II) + 4 Squamous (stages IIA, IB, IV, IIIA) = 8 NSCLC samples total. Stage I NSCLC samples = 2 (Adenocarcinoma sample 3: I; Squamous sample 2: IB) → 2/8 = 25%, which is <50%. | act evidence: No explicit adjuvant chemotherapy (ACT) annotation or treatment fields are present in the provided metadata. | justification: Neither requirement (majority Stage I NSCLC >50% nor explicit ACT annotation) is met.","meets survival criterion: No | meets stage or act criterion: No | justification: Fails survival criterion (no survival time/status data). Fails stage/ACT criterion (only 25% of NSCLC samples are Stage I and there is no ACT annotation). Dataset is primarily an SCLC-focused circulating miRNA study with healthy controls and few NSCLC Stage I samples, so it does not meet inclusion criteria.",No,False
samples_table_GSE8332.csv,,gpt-5-mini-2025-08-07,"No | evidence: All entries are cell lines (e.g., A549, H1299, H1975, etc.) with 'No treatment' in Characteristics. No patient-level clinical fields or survival time/status (OS/PFS/RFS) are present in the provided metadata. | justification: This dataset contains cell-line gene expression samples rather than patient clinical cohorts; therefore no patient-specific survival time or status is available.",No | stage i evidence: No stage annotations provided; samples are labeled as established cell lines rather than clinical tumor stages. | act evidence: No adjuvant chemotherapy annotation present; characteristics state 'No treatment' for cell lines. | justification: The metadata contains no information on clinical stage or adjuvant chemotherapy for patients; sample composition cannot be assessed and ACT is not annotated.,"meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: there is no patient-level survival time/status, and there is no information indicating >50% stage I patients or any adjuvant chemotherapy annotation. Dataset is a cell-line study, not a patient cohort.",No,False
samples_table_GSE92679.csv,,gpt-5-mini-2025-08-07,"No | evidence: Provided sample metadata lists only cell line samples (A549, HTB-182/HTB) with treatment conditions; no patient survival time or status is present. Summary mentions tumor series in general but no patient-level survival fields in the dataset extract. | justification: All explicit samples shown are in vitro cell line treatments; no OS/RFS/PFS time or event annotations are provided for patient samples.","No | stage i evidence: No stage information present in the provided sample metadata or GSM table. The summary mentions separate analysis of tumor cohorts (200 specimens, 1398 tumors) but no stage breakdown is given in this dataset extract. | act evidence: No adjuvant chemotherapy (ACT) annotation is provided in the sample metadata. | justification: The available data are cell-line experiments and lack any clinical staging or treatment (ACT) annotations required by the inclusion criteria.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset contains only treated NSCLC cell-line samples (A549, HTB-182) with no patient-level clinical data (no survival times/status, no staging or ACT annotations). Although the paper/summary references separate patient cohorts, those patient data are not present in the provided dataset metadata, so criteria are not met.",No,False
samples_table_GSE75960.csv,,gpt-5-mini-2025-08-07,"No | evidence: Metadata rows list GSM samples from DV90 cell line (e.g., 'DV90_JQ1_135nM_4h_rep1') with treatment/time labels; no fields for patient survival time or status. | justification: This is an in vitro cell line microarray experiment (DV90) with replicates and treatment conditions; no patient-level clinical or survival data are provided.","No | stage i evidence: No stage annotations present; all samples are labeled as 'Cell line: DV90' and 'Histologic subtype: NSCLC adenocarcinoma'. | act evidence: No adjuvant chemotherapy (ACT) annotations or treatment history for patients are present; only drug treatment of cell lines (JQ1) is described. | justification: Samples are cell-line experiments, not clinical patient samples, so neither a majority of Stage I patients nor ACT annotation applies.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: lacks patient-specific survival time/status and lacks clinical stage or ACT annotation because dataset consists of treated DV90 cell line replicates rather than patient samples.,No,False
samples_table_GSE115864.csv,,gpt-5-mini-2025-08-07,"No | evidence: Summary describes survival effects in xenograft models; sample metadata lists experimental GSM samples (NTC-DMSO, Notch-sIRNA-Erlotinib, NTC-Erlotinib) with no patient survival time/status fields. | justification: Dataset appears to be preclinical (cell line/xenograft) experimental samples; no patient-specific overall/progression-free survival time or status is provided.","No | stage i evidence: No clinical stage information or % stage I composition provided; samples are labeled by experimental treatment, not patient stage. | act evidence: No explicit adjuvant chemotherapy annotation. Listed treatments (erlotinib, DMSO, siRNA) are experimental interventions, not clinical ACT annotations. | justification: Metadata reflects laboratory treatment groups rather than clinical patient staging or documented adjuvant chemotherapy status.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: lacks patient-level survival time/status and lacks clinical stage or ACT annotations (preclinical experimental dataset).,No,False
samples_table_GSE27388.csv,,gpt-5-mini-2025-08-07,"No | evidence: Dataset title/summary and sample table list tumor type (cervix SCC/AC), age of FFPE block, and p63 staining; no fields for survival time or status (OS/RFS/PFS) are present. | justification: No survival time or status columns are provided in the sample metadata or the study summary.","No | stage i evidence: No stage information is provided in the title, summary, or sample metadata (samples are labeled by histology and FFPE block age only). | act evidence: No adjuvant chemotherapy (ACT) annotation appears in the sample metadata or study description. | justification: Metadata contains only histology and FFPE block age/p63 staining; there is neither staging nor treatment (ACT) annotation.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks any patient-specific survival time/status data and has no stage or ACT annotations. Additionally, the samples are cervical cancers (not NSCLC), so it does not meet the NSCLC meta-analysis scope.",No,False
