custom_id,error,model,Q1,Q2,Q3,Q4,in_actual
samples_table_GSE189047.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: Dataset consists of gene expression profiles from A549 lung cancer cell line treated with vehicle, TGFb, crizotinib, or both; no patient-specific survival time or status variables are present. | justification: The dataset is derived from cell line experiments, not patient data, so survival variables are not applicable.","No | stage i evidence: No patient data or staging information is provided; dataset is from cell line experiments. | act evidence: No adjuvant chemotherapy annotation is present; treatments are experimental drug treatments on cell lines, not clinical ACT annotation. | justification: The dataset does not include any patient clinical stage or ACT annotation as it is not clinical patient data.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival data and does not include clinical stage or ACT annotation; it is a cell line experimental dataset, thus does not meet inclusion criteria.",No,False
samples_table_GSE10096.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset describes metastatic activity assessed by Kaplan-Meier curves in animal models, but does not include patient-specific survival time or status variables. | justification: The data is from human NSCLC-derived cell lines tested in mice, with survival measured at the animal level, not patient-level survival variables.","No | stage i evidence: No information on patient stage distribution is provided; the dataset involves cell lines, not patient samples. | act evidence: No explicit adjuvant chemotherapy annotation is present; dataset focuses on metastatic cell lines and animal models. | justification: The dataset is preclinical, involving cell lines and mouse models, not clinical patient data with stage or treatment annotations.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-level survival variables and clinical annotations of stage or adjuvant chemotherapy; it is a preclinical model dataset and does not meet inclusion criteria.,No,False
samples_table_GSE27606.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset includes variables such as stage, histology, age, sex, smoking status, and days between sample collection, but does not include patient-specific survival time or survival status variables (e.g., overall survival or progression-free survival). | justification: No explicit survival time or survival status variables are present in the dataset; only clinical and sample collection timing data are available.","Yes | stage i evidence: Multiple patients have stage I NSCLC (e.g., stages 1A, 1B) as indicated in the 'GPL8179_Stage' column. | act evidence: No explicit adjuvant chemotherapy annotation is present in the dataset. | justification: Although there is no explicit adjuvant chemotherapy annotation, the dataset includes a majority of patients with stage I NSCLC (more than 50% of patients have stage I disease).","meets survival criterion: No | meets stage or act criterion: Yes | justification: The dataset lacks patient-specific survival time and status variables, failing the survival data inclusion criterion. However, it meets the criterion of having a majority of stage I patients (>50%).",No,False
samples_table_GSE38054.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset consists of gene expression data from NSCLC H358 cell lines treated with vehicle or DAPT, with no patient-specific survival time or status variables provided. | justification: The data is from cell line experiments, not patient clinical data, so survival variables are not present.","No | stage i evidence: No information on patient stage is provided; data is from cell lines, not patients. | act evidence: No explicit adjuvant chemotherapy annotation is present; treatment refers to DAPT or vehicle in cell lines, not clinical ACT. | justification: The dataset does not include patient samples or clinical annotations relevant to stage or ACT.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival data and does not include patient stage or ACT annotation; it is derived from cell line experiments, thus does not meet inclusion criteria.",No,False
samples_table_GSE240758.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset includes variables such as GPL33669_Group, GPL33669_Accession, GPL33669_Title, GPL33669_Source name, GPL33669_Disease, GPL33669_Age, GPL33669_Race, GPL33669_Sex, GPL33669_Stage but does not include any patient-specific survival time or survival status variables (e.g., overall survival time/status, progression-free survival time/status). | justification: No survival time or survival status variables are present in the dataset or description, which is required for inclusion.","No | stage i evidence: Among lung cancer patients, only 1 Adenocarcinoma sample is Stage I (GSM7708780), and 1 Squamous Cell Carcinoma sample is Stage IB (GSM7708783). The total number of lung cancer samples is 18 (excluding healthy donors). Stage I patients are thus less than 50%. | act evidence: There is no explicit annotation or mention of adjuvant chemotherapy (ACT) in the dataset or description. | justification: The dataset does not have a majority (>50%) of Stage I NSCLC patients, nor does it have explicit ACT annotation.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival time and status variables, and does not meet the criterion of having at least 50% Stage I NSCLC patients or explicit ACT annotation. Therefore, it does not meet the inclusion criteria.",No,False
samples_table_GSE8332.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset description and sample annotations indicate cell lines with no patient-specific survival time or status variables. | justification: The dataset consists of cancer cell lines with no clinical patient data, thus no survival status or survival time variables are present.","No | stage i evidence: No information on patient stage distribution is provided; dataset consists of cell lines, not patient samples. | act evidence: No explicit adjuvant chemotherapy annotation is present; dataset is of untreated cell lines. | justification: The dataset is composed entirely of cell lines without clinical annotations regarding stage or adjuvant chemotherapy.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival data and clinical annotations on stage or adjuvant chemotherapy; it does not meet inclusion criteria.,No,False
samples_table_GSE92679.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset description and sample annotations indicate experiments on NSCLC cell lines treated with various compounds, with no mention of patient-specific survival time or status variables. | justification: The dataset consists of cell line experiments, not patient clinical data, so survival variables are not present.","No | stage i evidence: No information on patient stage distribution is provided; dataset involves cell lines, not patient samples. | act evidence: No explicit adjuvant chemotherapy annotation is present; dataset describes treatments applied to cell lines, not clinical treatment annotations. | justification: The dataset does not include patient clinical data with stage or adjuvant chemotherapy annotations.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival data and does not include clinical stage or adjuvant chemotherapy information, thus failing both inclusion criteria.",No,False
samples_table_GSE75960.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: Dataset consists of expression data from NSCLC cell line DV90 after BET inhibitor treatment; no patient-specific survival time or status variables are provided. | justification: The dataset is derived from cell line experiments, not patient samples, thus lacks survival data variables.","No | stage i evidence: No patient data or staging information is present; dataset is from a cell line, not patients. | act evidence: No adjuvant chemotherapy annotation is present; dataset involves drug treatment of cell line, not clinical treatment annotation. | justification: Since the dataset is from a cell line experiment, it does not include patient stage or treatment annotation.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival data and does not include patient stage or adjuvant chemotherapy annotation, thus does not meet inclusion criteria.",No,False
samples_table_GSE115864.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset description and sample annotations do not mention any patient-specific survival time or status variables such as overall survival or progression-free survival. | justification: The dataset appears to be experimental data from cell lines treated with various conditions, not clinical patient data with survival outcomes.","No | justification: There is no indication of patient stage information or adjuvant chemotherapy annotation; the dataset is based on cell line experiments, not patient clinical data.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival data and does not include clinical stage or adjuvant chemotherapy information, thus failing both inclusion criteria.",No,False
samples_table_GSE27388.csv,,gpt-4.1-mini-2025-04-14,"No | evidence: The dataset description and sample annotations do not mention any patient-specific survival time or survival status variables such as overall survival (OS), progression-free survival (PFS), or recurrence-free survival (RFS). | justification: No survival data variables are provided or referenced in the dataset or its metadata.","No | stage i evidence: No information on NSCLC stage I patient composition is provided; the dataset is from cervical cancer samples, not NSCLC. | act evidence: No explicit adjuvant chemotherapy annotation is present in the dataset or description. | justification: The dataset is from cervical squamous cell carcinoma and adenocarcinoma samples, not NSCLC, and lacks any stage or chemotherapy annotation relevant to NSCLC inclusion criteria.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset does not contain patient-specific survival data nor does it meet the stage I or adjuvant chemotherapy annotation criteria. Additionally, it is not an NSCLC dataset but cervical cancer, thus it does not meet inclusion criteria for the NSCLC meta-analysis.",No,False
