custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Gene expression assessed using Affymetrix U133A chips; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: Human samples profiled by microarray (Affymetrix U133A) measuring RNA expression.,"No | evidence: Title/Description: 'Gene expression patterns in peripheral blood correlate with the extent of coronary artery disease' and text describes patients undergoing coronary angiography and CAD index (CADi). | justification: The study investigates coronary artery disease (CAD), not ALS-FTD.","No | evidence: Description: RNA extracted from circulating leukocytes; samples are peripheral blood leukocytes. 'Organism part' not specified as CNS; sample source described as circulating leukocytes. | justification: Samples are peripheral blood leukocytes, not human brain/CNS tissue.","No | evidence: Description indicates RNA from patients' circulating leukocytes collected at coronary angiography; no mention of in vitro cell lines or disease models. | justification: This is an in vivo clinical blood study, not patient-derived cell lines or experimental models.",Yes | evidence: RNA was extracted from 110 patients with CAD (CADi>23) and from 112 partially matched controls without CAD (CADi=0); design listed as 'parallel group design'. | justification: There are defined case (CAD) and control (no CAD) groups appropriate for case/control comparison.,No | evidence: Samples are circulating leukocytes (peripheral blood); no brain regions are sampled or listed. | justification: The dataset does not sample any brain regions (so it does not involve brain regions irrelevant to ALS-FTD — it involves no CNS tissue at all).,"No | evidence: Study type: transcription profiling by array; Affymetrix U133A microarrays used; Assay by Molecule: RNA assay. | justification: Technology is microarray expression profiling, which is compatible with inclusion (but other criteria still exclude).","justification: Exclude. Although this is a human microarray case/control study, it investigates coronary artery disease using peripheral blood leukocytes rather than ALS-FTD and does not include CNS/brain tissue relevant to ALS-FTD.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; cRNA synthesis and human U133 plus 2.0 GeneChip hybridization. | justification: The study used Affymetrix Human U133 Plus 2.0 microarrays on RNA from Homo sapiens samples, consistent with human microarray expression profiling.","No | evidence: Title/description: EGR4 is a master gene responsible for fertility in cryptorchidism; RNA isolated from testicular biopsies of cryptorchid boys. | justification: The dataset addresses cryptorchidism/fertility in testicular tissue, not amyotrophic lateral sclerosis or frontotemporal dementia.","No | evidence: Samples: Organism part: total testicular; Description: testicular biopsies. | justification: All samples are from testis (peripheral reproductive tissue), not brain or other CNS tissue.",No | evidence: Description: Whole testicular tissue was gained from cryptorchid boys and controls; procedures describe biopsy processing and RNA isolation. | justification: Samples are clinical tissue biopsies from patients/controls rather than patient-derived in vitro cell lines or experimental disease models.,"Yes | evidence: Description: samples from cryptorchid boys aged 10 months to 4.5 years as well as from controls of identical age. | justification: The study includes affected individuals (cryptorchid cases) and age-matched controls, indicating a case/control comparison.","Yes | evidence: Organism part: total testicular; all sampled tissue is testis, not brain/CNS. | justification: Tissue sampled (testis) is not a brain region and is not relevant to ALS-FTD neurodegeneration.",No | evidence: Technology: Array assay; cRNA synthesis and hybridization to Affymetrix Human U133 Plus 2.0 GeneChip. | justification: The platform is microarray-based and compatible with inclusion criteria (not RNA-seq or proteomics).,"justification: Although this is a human microarray case/control study, it investigates cryptorchidism using testicular tissue, not ALS-FTD nor CNS tissue. Therefore it fails the disease- and tissue-related inclusion criteria and should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: The study used whole‑genome transcription profiling on an array platform (microarray) measuring RNA from human-derived samples.,"Yes | evidence: Title: 'Profiling wt SOD versus ALS SOD1(G93A) mutant'; study compares SOD1WT and SOD1(G93A) (an ALS-associated mutation). | justification: The experiment models a well-known ALS-associated SOD1 mutation (G93A), so the dataset pertains to ALS pathogenesis.",No | evidence: Samples: Cell line: neuroblastoma SH-SY5Y; 'Organism part' not provided; no human brain/CNS tissue indicated. | justification: All samples derive from a neuroblastoma cell line rather than human post‑mortem or biopsy CNS tissue.,"Yes | evidence: Description: 'SH-SY5Y cells stably transfected with cDNAs coding for SOD1WT or SOD1(G93A)'; Samples list shows Cell line: neuroblastoma SH-SY5Y. | justification: This is an in vitro disease model using a transfected cell line (not patient tissue), meeting exclusion criterion for non‑clinical models.","No | evidence: Design: five WT SOD vs five mutant SOD in SH-SY5Y cells; no clinical case/control patient groups documented. | justification: Although there are two experimental groups, they are cell line conditions, not clinical case vs control patient samples.",No | evidence: No brain regions sampled; samples are from SH-SY5Y cell line only. | justification: The question of brain region relevance is not applicable because no CNS tissue was profiled.,No | evidence: Study type: transcription profiling by array; Technology: Array assay. | justification: The assay is microarray‑based (compatible); no RNA‑seq or proteomics reported.,"justification: Exclude. Although the study uses human-derived material and microarray profiling and models an ALS-associated SOD1 mutation, it is an in vitro transfected SH-SY5Y cell line model (non‑clinical) and does not use human CNS tissue or clinical case/control patient samples. This violates exclusion criteria (patient-derived in vitro models and lack of patient case/control CNS tissue).",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Study uses 16S rRNA gene PCR and DNA–DNA hybridization on a microarray to profile bacterial species in gingival crevicular fluid; Organism listed as Homo sapiens refers to host source but the measured targets are bacterial species. | justification: The assay profiles microbial species (bacterial 16S) rather than human gene expression on a transcriptome microarray, so it is not a human microarray expression profiling study.","No | evidence: Sample annotations list Disease: periodontitis; study description focuses on periodontal disease and subgingival microbiota. | justification: The dataset concerns periodontitis, not amyotrophic lateral sclerosis or frontotemporal dementia (ALS-FTD).","No | evidence: Samples are gingival crevicular fluid (GCF) and subgingival plaque (PP) taken from periodontal sites; organism part is oral, not CNS. | justification: No human brain or CNS tissues were sampled; material is oral microbiome/gingival fluid.","No | evidence: Samples are clinical GCF and PP specimens from 17 subjects with periodontal disease as described in the study. | justification: The dataset uses direct patient clinical samples, not patient-derived in vitro cell lines or experimental disease models.",No | evidence: Experimental factors show SAMPLE_TYPE and all subjects are listed with periodontitis; study compares GCF vs PP within periodontitis patients rather than cases vs healthy controls. | justification: There is no case (ALS/FTD) versus healthy control design for the target neurodegenerative disease; design is intra-subject comparison of oral sample types.,"Yes | evidence: Samples are oral (gingival crevicular fluid and subgingival plaque), not brain regions. | justification: The sampled tissues are non-CNS and therefore irrelevant to ALS-FTD-affected brain regions.","No | evidence: Technology listed as Array assay (DNA–DNA hybridization microarray for bacterial species); not RNA-seq or proteomics. | justification: No incompatible technologies such as RNA-seq or proteomics are used, although the array is for microbial species profiling rather than human expression microarrays.","justification: Exclude: does not meet inclusion criteria 1–3. It is not a human gene expression microarray study (targets bacterial 16S/species), does not concern ALS-FTD (disease = periodontitis), and does not involve CNS tissue (oral samples). Although the assay is an array, the biological questions and sample types are irrelevant to the ALS-FTD human CNS expression profiling scope.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Description: 'We used Affymetrix microarrays to detail the global gene expression profiles' and samples include Homo sapiens (human colon cancer cells). | justification: The experiment used Affymetrix microarrays to profile RNA and includes human-derived samples (Caco2, T84) profiled by array.","No | evidence: Title/Description focus on 'subepithelial myofibroblasts from mouse ileum or colon' and 'human colon cancer cells'; no mention of ALS, FTD, neurodegeneration, motor neuron disease, or related terms. | justification: The study addresses intestinal myofibroblasts and colon cancer interactions, not ALS-FTD.","No | evidence: Organism part and sample descriptions indicate ileum, colon, subepithelial myofibroblasts and colon cancer cells; no CNS or brain tissue reported. | justification: All samples are intestinal tissues or cultured cell lines; there is no human brain/CNS material.","Yes | evidence: Experimental Factors list CELL LINE; Cell lines specified: T84, Caco2; description states fibroblasts were expanded in culture and human cancer cells isolated from xenografts in mice. | justification: The study uses established human cancer cell lines and cultured mouse fibroblasts and a mouse xenograft model (NOD/SCID), which are in vitro / model systems.","No | evidence: Experimental Designs: Not found; Experimental Factors: CELL LINE, ORGANISM, CELL TYPE; no indication of clinical case vs control groups or disease/control labeling. | justification: Design compares cell types/conditions in experimental models rather than clinical case-control cohorts.",Yes | evidence: Samples derive from ileum and colon (intestinal tissues) and cultured cell lines; no brain regions sampled. | justification: The tissues sampled are non-CNS (intestinal) and thus not relevant to ALS-FTD-affected brain regions.,No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; description indicates Affymetrix microarrays were used. | justification: The platform is microarray (compatible); the dataset does not use RNA-seq or proteomics.,"justification: Exclude. Although the dataset contains human microarray data, it is not about ALS-FTD, does not include human CNS tissue, uses cell lines and xenograft models, and lacks a clinical case/control design. These factors violate multiple inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Title and description state NanoString nCounter miRNA expression assay was used to profile RNA from sorted CD14+CD16- monocytes; Technology listed as 'Array assay' but assay description specifically: 'NanoString nCounter hybridization system and nCounter miRNA expression assays'. | justification: Study used NanoString nCounter miRNA profiling (digital hybridization/counting), not a classical human mRNA microarray platform; the assay targets miRNAs rather than microarray-based transcriptome profiling.","Yes | evidence: Samples annotated with Disease: multiple sclerosis, Sporadic amyotrophic lateral sclerosis (SALS), healthy control; description discusses 'In humans with ALS' and reports ALS-specific miRNA signature. | justification: Human ALS (SALS) subjects are explicitly included and compared to controls (and MS) in the study.","No | evidence: Cell type: CD14+CD16- monocytes; Sample source: blood-derived monocytes (FACS sorted from peripheral blood). Description refers to blood monocytes and mouse spinal cord in model work, but human samples are peripheral blood. | justification: All human samples are peripheral blood monocytes rather than brain or other CNS tissue.","No | evidence: Human samples are 'FACS sorted CD14+CD16- blood-derived monocytes from sporadic ALS (n=8), MS (n=8) and HC (n=8) subjects.' | justification: Data are from primary patient-derived peripheral blood cells, not patient-derived in vitro cell lines or experimental disease models (although the manuscript also describes SOD1 mouse work, the deposited human data are ex vivo monocytes).","Yes | evidence: Experimental Factors include DISEASE STATE with levels: multiple sclerosis, Sporadic amyotrophic lateral sclerosis (SALS), healthy control; sample counts: ALS (n=8), MS (n=8), HC (n=8). | justification: The study compares disease groups (ALS, MS) against healthy controls, consistent with a case/control design.","Yes | evidence: Organism part is blood-derived monocytes; 'Cell type: CD14+CD16- monocytes'—no brain/CNS regions sampled. | justification: Samples are peripheral blood monocytes, not CNS regions; therefore tissue is not a brain region affected by ALS-FTD neurodegeneration.",Yes | evidence: Assay methodology: NanoString nCounter miRNA expression assay (miRNA profiling by NanoString). | justification: NanoString nCounter is a hybridization/counting miRNA platform (not a microarray-based mRNA expression assay); the platform and target (miRNA) are outside the microarray-mRNA profiling technology inclusion requirement.,"justification: Although the dataset is human and includes ALS cases with a case/control design, it should be excluded because it does not meet key inclusion criteria: it profiles peripheral blood monocytes (not CNS tissue) and uses NanoString miRNA assays rather than human mRNA microarray expression profiling.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Description: human microRNA Microarray Kit Agilent; Organism: Homo sapiens. | justification: The study uses human samples and miRNA expression profiling by microarray (Agilent), matching human microarray expression profiling.","No | evidence: Title and Description: MiRNA expression profiling in human medullary thyroid carcinoma; samples are tumor and adjacent normal thyroid tissue. | justification: The disease under study is medullary thyroid carcinoma, not ALS or FTD.","No | evidence: Organism part: thyroid; Description: matched tumor and adjacent normal frozen tissues were obtained from thyroid of patients. | justification: Samples are from thyroid tissue, not brain/CNS.","No | evidence: Description: matched tumor and adjacent normal frozen tissues from patients; no cell lines or in vitro disease models reported. | justification: Tissues are patient surgical specimens (tumor and adjacent normal), not patient-derived in vitro cell lines or experimental disease models.","Yes | evidence: Description: matched tumor and adjacent normal tissue were obtained and hybridized on microarray; validation set also includes tumors and normals. | justification: Study compares cases (tumor tissue) with matched controls (adjacent normal tissue), i.e., a case/control paired design.","Yes | evidence: Organism part: thyroid; Title: medullary thyroid carcinoma (thyroid tissue). | justification: Samples are non-CNS (thyroid), therefore not from brain regions relevant to ALS-FTD neurodegeneration.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The assay is microarray-based RNA profiling, which is compatible with the inclusion requirement for microarray expression profiling.","justification: Exclude: although this is human microarray expression data with a case/control design, the study targets medullary thyroid carcinoma and uses thyroid (non-CNS) tissue. It does not pertain to ALS-FTD or relevant CNS regions, so it fails the disease and tissue inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens | justification: The study used microarray-based transcription profiling on human RNA (muscle biopsy) samples.,"Yes | evidence: Title: 'Gene expression analysis of ALS skeletal muscle'; Description: '...molecular mechanisms involved in the ALS related atrophy process...' | justification: The study explicitly investigates amyotrophic lateral sclerosis (ALS), which falls within the ALS-FTD disease spectrum.","No | evidence: Organism part: deltoid, quadriceps; Description: '...performed on muscle biopsies' | justification: Samples are skeletal muscle (deltoid, quadriceps), not brain or other CNS tissue.",No | evidence: Description and sample annotations indicate muscle biopsies from Homo sapiens; no cell lines or in vitro models reported | justification: Samples are patient tissue biopsies rather than patient-derived cell lines or experimental disease models.,"Unclear | evidence: Experimental Designs: Not found; Experimental Factors include DISEASE STATUS, but no explicit annotation of case vs. control or number of controls | justification: A 'DISEASE STATUS' factor is present, but the archive metadata does not explicitly document a case/control grouping or control sample counts, so case/control design cannot be confirmed from provided metadata.","Yes | evidence: Organism part: deltoid, quadriceps; samples are skeletal muscle | justification: The sampled tissues are peripheral skeletal muscles, which are not CNS brain regions affected by ALS-FTD neurodegeneration; thus they do not meet the CNS tissue requirement.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: The platform is microarray-based expression profiling, which is compatible with inclusion.","justification: Although the dataset is human and uses microarray profiling of ALS-related samples (meets criteria 1 and 2), it fails the requirement for CNS tissue sampling (criterion 3) because samples are skeletal muscle biopsies. Additionally, the case/control design is not clearly documented. Therefore it should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens; Assay by Molecule: RNA assay. | justification: The study uses gene expression microarrays on human samples (monocytes and monocyte-derived dendritic cells), so it is human microarray expression profiling.","No | evidence: Description: study of monocyte-derived DCs and monocytes stimulated in vitro by vaccines and ligands; Samples 'Disease' and 'Disease state/staging' fields: Not found. | justification: The study focuses on vaccine-induced transcriptional responses in immune cells, with no mention of ALS, FTD, or related neurodegenerative disease.","No | evidence: Description: monocyte-derived DCs (moDCs) and monocytes stimulated in vitro; Experimental Factors include 'cell population'; 'Organism part' not found. | justification: Samples are peripheral immune cells cultured in vitro, not brain or other CNS tissue.","Yes | evidence: Description: 'monocyte-derived DCs (moDCs) in vitro' and 'monocytes and moDCs ... stimulated' (in vitro stimulation experiments). | justification: The dataset comprises patient/donor-derived immune cells differentiated and stimulated in vitro (an ex vivo/in vitro cellular model), which meets the exclusion criterion for non-clinical in vitro models.","No | evidence: Samples: Experimental Designs: Not found; Experimental Factors are concentration, culture conditions, cell population, donor id; Description describes stimulation by vaccines and controls (media), not case versus disease control groups. | justification: The study is a stimulation/perturbation experiment with treated versus media controls, not a clinical case versus control design comparing diseased patients to healthy controls.","No | evidence: Organism part: Not found; Description indicates immune cell cultures (monocytes/moDCs), not brain regions. | justification: No brain regions are sampled, so the question of irrelevant brain regions is not applicable; therefore it does not involve brain regions outside ALS-FTD-affected areas.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The platform is microarray-based transcription profiling, which is compatible with inclusion (i.e., not RNA-seq or proteomics).","justification: Exclude. Although the dataset is human microarray expression profiling, it is not relevant to ALS-FTD: it uses in vitro stimulated peripheral immune cells (monocytes/moDCs) rather than human CNS tissue, is not a clinical case/control study of ALS/FTD, and therefore fails inclusion criteria (2, 3, and 5) and meets exclusion criterion (4).",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: The study is transcription profiling using microarray (array assay) on human samples (Homo sapiens), so it meets the human microarray expression profiling criterion.","No | evidence: Title and description: ""Transcription profiling of human B cells at four cconsecutive stages of B cell development""; Description: cells purified from human bone marrow; Disease: Not found. | justification: The study concerns B cell development from bone marrow and contains no mention of ALS, FTD, or related neurodegenerative disease.","No | evidence: Description: ""Cells from four developmental stages were purified by FACS from human bone marrow samples""; Organism part: not found but bone marrow explicitly stated. | justification: Samples are bone marrow–derived B cells, not human brain or CNS tissue.","No | evidence: Description: primary cells purified by FACS from human bone marrow; no indication of established cell lines or experimental disease models. | justification: The data are from primary human B cells sorted from tissue, not patient-derived in vitro cell lines or model organisms.","No | evidence: Experimental design: cells sorted into four developmental stages (PB1, PB2, LAR, SMA); Experimental Factors: Not found; Disease state/staging: Not found. | justification: The study compares developmental stages of B cells rather than a case versus control (disease vs healthy) design.",Yes | evidence: Samples are from human bone marrow B cells (no brain/CNS tissue). | justification: The dataset does not sample any brain regions; therefore it does not include regions affected by ALS-FTD and is irrelevant to ALS-FTD neurodegeneration.,No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The technology is microarray-based transcription profiling (compatible); it is not RNA-seq or proteomics.,"justification: Exclude. Although the dataset is human microarray expression profiling, it does not study ALS-FTD, does not use CNS/brain tissue (samples are bone marrow B cells), and is not a case/control disease study. It therefore fails key inclusion criteria (target disease, relevant tissue, study design).",No,No,False,,,,,,,,,
