custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Affymetrix U133A chips | justification: Dataset uses human RNA microarrays (Affymetrix U133A) for gene expression profiling,"No | evidence: Title and description focus on coronary artery disease (CAD), not ALS-FTD | justification: The study investigates gene expression in CAD, not amyotrophic lateral sclerosis‐frontotemporal dementia",No | evidence: Samples are circulating leukocytes from peripheral blood | justification: No CNS or brain tissue is profiled; only blood leukocytes are analyzed,"No | evidence: Samples are from patients undergoing coronary angiography, not cell lines or models | justification: Primary in vivo patient blood samples used, not in vitro disease models or cell lines",Yes | evidence: 110 patients with CAD (CADi>23) and 112 partially matched controls without CAD (CADi=0); parallel group design | justification: Clear case (CAD) versus control (no CAD) cohort comparison,No | evidence: No brain regions sampled; only blood leukocytes | justification: Not applicable as no brain tissue is profiled,"No | evidence: Array assay on RNA; Affymetrix U133A microarrays | justification: Uses compatible microarray technology, not RNA-seq or proteomics","justification: Dataset is human microarray but studies peripheral blood in coronary artery disease, not ALS-FTD CNS tissue, thus does not meet disease or tissue criteria",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Affymetrix U133 plus 2.0 GeneChip hybridization | justification: This is a human microarray expression profiling study using Affymetrix arrays.,"No | evidence: Disease: cryptorchidism; Title: EGR4 is a master gene responsible for fertility in cryptorchidism | justification: The study focuses on cryptorchidism, not ALS-FTD.","No | evidence: Organism part: total testicular | justification: Samples are from testicular biopsies, not CNS tissue.","No | evidence: Samples are tissue biopsies, not cell lines or disease models | justification: Uses ex vivo human tissue rather than in vitro cell lines or models.",Yes | evidence: Samples from cryptorchid boys vs controls of identical age | justification: The study compares cases (cryptorchid boys) to matched controls.,"Yes | evidence: Tissue is total testicular, not a CNS region | justification: Testicular tissue is irrelevant to ALS-FTD neurodegeneration.",No | evidence: Array assay; Affymetrix U133 plus 2.0 GeneChip hybridization | justification: Uses compatible microarray technology.,"justification: The dataset neither targets ALS-FTD nor involves relevant CNS tissue, so it fails inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Dataset uses array-based transcription profiling of human-derived RNA,"No | evidence: Title: Profiling wt SOD versus ALS SOD1(G93A) mutant; Disease state/staging: Not found | justification: Although it uses an ALS SOD1 mutant, the focus is a cell‐line model, not clinical ALS‐FTD patients","No | evidence: Sample attributes: Cell line: neuroblastoma SH-SY5Y | justification: Samples are from an in vitro cell line, not human CNS tissue",Yes | evidence: Cell type/line: neuroblastoma SH-SY5Y stably transfected | justification: Dataset involves patient-derived in vitro cell line model,Yes | evidence: Five wt SOD versus five mutant SOD | justification: Design compares two groups (wild-type vs mutant) analogous to case/control,"No | evidence: Samples are cell line, no brain region sampled | justification: Not applicable",No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: Compatible microarray platform,justification: Excluded due to use of an in vitro cell line model rather than human CNS tissue and lack of clinical ALS-FTD patient samples,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: “microarray for over 300 bacterial species or groups” | justification: This is a DNA–DNA hybridization microarray of bacterial species, not human gene expression profiling.","No | evidence: Disease state: periodontitis | justification: The study focuses on periodontal disease, not ALS-FTD.",No | evidence: Samples are gingival crevicular fluid (GCF) and subgingival plaque | justification: No CNS or brain tissue is analyzed.,"No | evidence: Clinical samples from patients with periodontitis | justification: This is an in vivo clinical sampling study, not in vitro cell lines or disease models.","No | evidence: 17 periodontitis patients; no healthy control group reported | justification: Design compares two sample types in diseased subjects, not case vs healthy controls.","Yes | evidence: Organism part: gingival crevicular fluid | justification: Sampling site is oral, not a CNS region affected by ALS-FTD.","Yes | evidence: Array by DNA–DNA hybridization of bacterial 16S rRNA genes | justification: The assay targets bacterial species diversity, not human transcriptome microarray profiling.","justification: Does not profile human CNS gene expression, does not study ALS-FTD, and uses bacterial microarray technology on oral samples with no case/control design.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; used Affymetrix microarrays | justification: The dataset employs Affymetrix microarray technology to profile gene expression in cultured cells.,"No | evidence: No mention of ALS or FTD; focuses on colon cancer and myofibroblasts | justification: The study investigates cancer‐fibroblast interactions, not neurodegenerative disease.",No | evidence: Samples are from mouse ileum/colon and human colon cancer cells | justification: No CNS or brain tissue is profiled.,"Yes | evidence: Cultured mouse subepithelial myofibroblasts and human cancer cell lines in xenografts | justification: Involves in vitro cell lines and xenograft models, not patient tissue.","No | evidence: Experimental design compares cell types in culture/xenografts, not case vs control patients | justification: No clinical case‐control comparison in human disease context.",No | evidence: No brain regions sampled; only intestinal and cancer cell samples | justification: Dataset does not involve any brain region.,No | evidence: Technology: Array assay (RNA) | justification: Use of microarray expression profiling is compatible.,"justification: This dataset is not relevant to ALS-FTD: it profiles non-CNS (intestinal/cancer) tissues in mouse and cell lines, lacks case/control human design, and does not involve neurodegeneration.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: “NanoString nCounter miRNA expression assay” | justification: Uses targeted NanoString assay, not genome‐wide microarray expression profiling","No | evidence: Samples include sporadic ALS, MS, healthy control; no FTD component | justification: Focuses on ALS and MS, not the ALS‐FTD clinical spectrum","No | evidence: Cell type: CD14+CD16- monocytes from blood | justification: Samples are peripheral blood monocytes, not CNS tissue","No | evidence: Organism: Homo sapiens; cell type: primary monocytes | justification: Uses primary human blood cells, not cell lines or animal/disease models",Yes | evidence: Disease state: sporadic ALS vs healthy control (and MS) | justification: Includes ALS cases and healthy controls for comparison,Yes | evidence: Source organ: blood monocytes | justification: No CNS region sampled; peripheral blood is irrelevant to CNS degeneration,Yes | evidence: Technology: NanoString nCounter miRNA assay | justification: NanoString is not microarray expression profiling,"justification: Dataset is not microarray‐based, uses non‐CNS peripheral blood, and employs NanoString technology. It does not meet core criteria for ALS‐FTD CNS microarray profiling.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; human microRNA Microarray Kit Agilent | justification: The dataset uses human microarray technology to profile miRNA expression.,"No | evidence: Title: MiRNA expression profiling in human medullary thyroid carcinoma | justification: The disease of interest is medullary thyroid carcinoma, not ALS-FTD.","No | evidence: Organism part: thyroid | justification: Samples were obtained from thyroid tissue, not CNS regions.","No | evidence: Matched tumor and adjacent normal tissue from patients | justification: Material comes from patient tissue samples, not in vitro cell lines or disease models.",Yes | evidence: Matched tumor and adjacent normal tissue | justification: The study compares case (tumor) versus control (adjacent normal) samples.,Yes | evidence: Organism part: thyroid | justification: Thyroid is not a brain region affected by ALS-FTD.,No | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Microarray expression profiling is the compatible technology.,justification: Excluded because it does not study ALS-FTD or any CNS tissue; disease and tissue of interest do not match inclusion criteria.,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay, RNA assay | justification: Human gene expression profiling was performed using microarray technology","No | evidence: Title: Gene expression analysis of ALS skeletal muscle; Description: focus on ALS-related atrophy | justification: Dataset pertains to ALS muscle wasting only, with no FTD or ALS-FTD context","No | evidence: Organism part: deltoid, quadriceps | justification: Samples are from skeletal muscle, not CNS tissue","No | evidence: Samples: muscle biopsies | justification: Data derived directly from patient tissue, not cell lines or models","Unclear | evidence: Experimental Factors include DISEASE STATUS, but no explicit case/control design described | justification: Disease status factor suggests a comparison but design details are not specified","Unclear | evidence: Organism part: deltoid, quadriceps | justification: No brain regions were sampled, applicability of this criterion is unclear",No | evidence: Technology: Array assay on RNA | justification: Microarray expression profiling is compatible,justification: Excluded due to non-CNS tissue (skeletal muscle) and lack of ALS-FTD focus,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Technology: Array assay; Study type: transcription profiling by array | justification: Dataset uses microarray-based transcription profiling on human samples,No | evidence: Description focuses on vaccination response in dendritic cells and monocytes; no mention of ALS or FTD | justification: Not related to amyotrophic lateral sclerosis or frontotemporal dementia,No | evidence: Samples are human monocyte-derived dendritic cells and monocytes cultured in vitro | justification: No CNS or brain tissue samples were used,"Yes | evidence: Study uses in vitro stimulation of monocyte-derived dendritic cells and monocytes | justification: This is an in vitro cell-based immunology experiment, not clinical tissue","No | evidence: Experimental design compares vaccination-stimulated cells to media controls, not disease cases vs healthy controls | justification: Design is treatment vs control in vitro, not clinical case/control cohorts","Yes | evidence: Only immune cells (DCs, monocytes) are profiled; no brain region sampling | justification: No CNS regions are involved, so tissue is irrelevant to ALS-FTD neurodegeneration",No | evidence: Microarray (array assay) technology is used | justification: Method is compatible with expression microarray profiling,"justification: Dataset does not involve ALS-FTD, uses in vitro immune cells rather than human CNS tissue, and lacks a clinical case/control design, thus fails multiple inclusion criteria",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: Dataset uses human microarray-based transcription profiling,"No | evidence: Description: Transcription profiling of human B cells at four developmental stages; Disease: Not found | justification: No mention of ALS, FTD, or related pathology","No | evidence: Source: human bone marrow B cells; Organism part: Not found | justification: Samples are from peripheral B cells, not CNS tissue",No | evidence: Samples are primary human B cells sorted by FACS from bone marrow | justification: Not patient-derived cell lines or disease models,No | evidence: Experiment overall design: developmental stages of B cells | justification: No case/control comparison between diseased and healthy groups,"Yes | evidence: Samples are from bone marrow B cells, not brain regions | justification: No CNS tissue sampled; entirely irrelevant to ALS-FTD–affected regions",No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: Appropriate microarray expression profiling technology used,"justification: Dataset does not involve ALS‐FTD, CNS tissue, or case/control design; it profiles peripheral B cell development",No,No,False,,,,,,,,,
