custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Affymetrix U133A chips | justification: Uses human RNA microarray to profile gene expression,"No | evidence: Title: gene expression…coronary artery disease; Description: extent of CAD | justification: Focuses on coronary artery disease, not ALS-FTD",No | evidence: Samples: circulating leukocytes from peripheral blood | justification: Does not use CNS or brain tissue,"No | evidence: Samples: patient blood; no cell line or in vitro model mentioned | justification: Data derived from patient blood samples, not cell lines or models",Yes | evidence: 110 CAD patients vs 112 matched controls; parallel group design | justification: Clear case/control comparison,"Yes | evidence: Samples from peripheral blood, not brain regions | justification: Does not sample any CNS region relevant to ALS-FTD","No | evidence: Technology: Array assay, RNA assay | justification: Microarray platform is compatible","justification: Dataset is excluded because it addresses coronary artery disease in blood, not ALS-FTD in CNS tissue",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"Yes | evidence: Study type: transcription profiling by array; cRNA synthesis, human U133 plus 2.0 GeneChip hybridization | justification: Uses human tissue and Affymetrix microarray for expression profiling","No | evidence: Title: EGR4 is a master gene responsible for fertility in cryptorchidism; Disease: Not found | justification: Focuses on cryptorchidism, not ALS or FTD","No | evidence: Organism part: total testicular | justification: Samples are from testicular biopsies, not CNS tissue","No | evidence: Samples: whole testicular tissue from patients and controls | justification: Uses patient biopsy tissue, not in vitro cell lines or animal models",Yes | evidence: Samples from cryptorchid boys and age-matched controls | justification: Includes patient group and control group for comparison,"Yes | evidence: Organism part: total testicular | justification: Tissue sampled is testis, a region not relevant to ALS-FTD neurodegeneration",No | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Uses standard microarray technology,"justification: Although this is human microarray data, the dataset is not related to ALS-FTD and does not use CNS tissue, so it fails key inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: Dataset uses microarray to profile human RNA expression,Yes | evidence: Title: Profiling wt SOD versus ALS SOD1(G93A) mutant | justification: SOD1(G93A) is an ALS-associated mutation,"No | evidence: Samples are SH-SY5Y neuroblastoma cell line | justification: No primary human CNS tissue, only in vitro cell line",Yes | evidence: Cell line: neuroblastoma SH-SY5Y stably transfected with SOD1 constructs | justification: Involves an in vitro disease model rather than clinical samples,Yes | evidence: Five wt SOD versus five mutant SOD samples | justification: Two-group comparison analogous to case/control design,"No | evidence: No human brain region sampled | justification: Only cell line used, no brain region to consider",No | evidence: Technology: Array assay | justification: Microarray expression profiling is compatible,"justification: Although it uses human microarrays and models an ALS mutation, it relies on an in vitro neuroblastoma cell line rather than primary CNS tissue, so it fails inclusion criteria",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: Study uses DNA–DNA hybridization microarray of 16S rRNA amplicons to profile bacterial species, not human gene expression | justification: Not human transcriptome profiling; it detects bacterial species diversity","No | evidence: Source Characteristics list disease: periodontitis | justification: Study is about periodontal disease, not ALS-FTD","No | evidence: Samples are gingival crevicular fluid and subgingival plaque from periodontal sites | justification: Non‐CNS/peripheral oral tissues, not brain","No | evidence: Samples derived directly from patients’ gingival fluid and plaque | justification: In vivo clinical samples, not in vitro cell lines or models",No | evidence: Study compares GCF vs subgingival plaque within periodontitis patients only | justification: No case vs healthy control group design,"Yes | evidence: Organism part: gingival crevicular fluid, subgingival plaque | justification: Non‐CNS tissue, irrelevant to ALS-FTD‐affected regions","No | evidence: Technology: array assay | justification: Microarray‐based, not RNA-seq or proteomics",justification: Completely unrelated to ALS-FTD or human CNS transcriptomics; studies periodontal bacterial profiling,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Affymetrix microarrays used on human cancer cells | justification: The study uses Affymetrix microarray expression profiling on sorted human colon cancer cells.,"No | evidence: Description: gene expression profiles from mouse ileum or colon fibroblasts and human colon cancer cells; no mention of ALS or FTD | justification: The dataset focuses on cancer xenografts, not ALS-FTD.","No | evidence: Organism part: ileum and colon; Cell type: cancer cells and subepithelial myofibroblasts | justification: Samples derive from intestinal tissues and cancer cell lines, not human CNS.","Yes | evidence: Cell line: T84, Caco2; cultured cells; xenograft model | justification: The study uses human cancer cell lines and mouse fibroblasts in xenograft, not clinical patient tissue.",No | evidence: Experimental Design: xenograft interaction model; no case/control groups indicated | justification: No case versus control comparison; design focuses on interaction in xenograft model.,"Yes | evidence: Organism part: ileum and colon; no CNS regions sampled | justification: The sampled tissues (colon, ileum) are not affected by ALS-FTD neurodegeneration.","No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: The dataset uses microarray technology, which is compatible with inclusion criteria.","justification: Excluded because it does not study ALS-FTD, uses non-CNS tissues (colon/ileum), and involves cell line xenograft models rather than clinical CNS samples.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: Study used the NanoString nCounter miRNA expression assay | justification: NanoString nCounter is a targeted hybridization assay, not a genome-wide microarray",Yes | evidence: Samples include Sporadic amyotrophic lateral sclerosis (SALS) subjects | justification: Dataset includes human ALS patient samples,No | evidence: Samples are CD14+CD16- monocytes from peripheral blood | justification: No CNS or brain tissue was profiled,"No | evidence: Samples are primary blood monocytes from ALS, MS and healthy control subjects | justification: No in vitro cell lines or animal models were profiled in this dataset","Yes | evidence: Cohorts include SALS (n=8), MS (n=8) and healthy controls (n=8) | justification: Design compares disease cases versus healthy controls",No | evidence: No brain or CNS regions were sampled | justification: Study used only peripheral blood monocytes,Yes | evidence: NanoString nCounter miRNA expression assay was used | justification: nCounter technology is not a standard microarray expression profiling platform,justification: Dataset profiles peripheral blood monocytes using NanoString rather than human CNS tissue with a genome-wide microarray; fails tissue and technology criteria,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Human microRNA Microarray Kit Agilent | justification: Uses human microarray (Agilent) to profile miRNA expression,"No | evidence: Title: MiRNA expression profiling in human medullary thyroid carcinoma | justification: Study focuses on thyroid carcinoma, not ALS-FTD","No | evidence: Organism part: thyroid | justification: Samples are thyroid tissues, not CNS","No | evidence: Source Characteristics: Organism part: thyroid; Matched tumor and adjacent normal frozen tissues | justification: Uses clinical patient tissues, not in vitro cell lines or models",Yes | evidence: Matched tumor and adjacent normal tissue from 24 patients | justification: Design compares diseased (tumor) vs control (adjacent normal) tissues,Yes | evidence: Organism part: thyroid | justification: Tissue is non-CNS and thus irrelevant to ALS-FTD neurodegeneration,No | evidence: Technology: Array assay | justification: Microarray platform is compatible with expression profiling inclusion criteria,"justification: Although the dataset uses human microarray expression profiling with a case/control design, it is thyroid carcinoma tissue rather than ALS-FTD-relevant CNS tissue and does not study ALS-FTD.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens | justification: The dataset uses microarray (array) transcription profiling on human samples.,No | evidence: Title: Gene expression analysis of ALS skeletal muscle; Disease not specified as FTD | justification: The dataset focuses solely on ALS-related muscle atrophy without reference to frontotemporal dementia.,"No | evidence: Organism part: deltoid, quadriceps (skeletal muscle); no CNS tissues listed | justification: Samples derive from skeletal muscle, not CNS tissues.","No | evidence: Organism source: muscle biopsies; no cell lines mentioned | justification: Samples are patient-derived tissue biopsies, not in vitro cell models.",Yes | evidence: Experimental Factors include DISEASE STATUS | justification: The presence of a disease status factor indicates a case/control design comparing ALS versus control samples.,"Yes | evidence: Organism part: deltoid, quadriceps (muscle tissues) | justification: Muscle is not a CNS region affected by neurodegeneration in ALS-FTD.","No | evidence: Study type: transcription profiling by array; RNA assay | justification: The dataset uses microarray technology, which is compatible.","justification: The dataset is excluded because samples are from skeletal muscle rather than CNS tissues and it does not address the ALS-FTD spectrum, focusing solely on ALS muscle pathology.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Uses human microarray-based transcription profiling,"No | evidence: Description and sample annotations make no mention of ALS or FTD | justification: The study focuses on vaccine-stimulated immune cells, not ALS-FTD","No | evidence: Experimental Factors: cell population = IL4 DCs and monocytes; Source Characteristics: no organism part indicated | justification: Samples are in vitro cultured immune cells, not CNS tissue","Yes | evidence: Description: monocyte-derived DCs and monocytes stimulated in vitro | justification: Involves in vitro cultured primary immune cells, not clinical tissue","No | evidence: Experimental design compares stimulated versus media controls, not patient vs healthy control | justification: No case/control disease comparison present","Yes | evidence: Samples derive from immune cells, no brain region sampled | justification: No CNS regions are involved, all samples are non-neuronal",No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: Microarray profiling is compatible,"justification: Fails multiple criteria: not ALS-FTD, no CNS tissue, non-clinical in vitro design",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens | justification: Dataset uses human RNA on a microarray platform,"No | evidence: Title: Transcription profiling of human B cells at four consecutive stages of B cell development; Disease: Not found | justification: No mention of ALS, FTD, or related neurodegenerative disease","No | evidence: Source: human bone marrow B cells; Organism part: Not found | justification: Samples are from bone marrow B cells, not CNS tissue","No | evidence: Cells were purified by FACS from human bone marrow samples | justification: Primary B cells sorted ex vivo, not patient‐derived cell lines or disease models","No | evidence: Experiment Overall Design: sorting developmental stages (PB1, PB2, LAR, SMA); no case/control groups | justification: Study compares B cell developmental stages, not diseased vs. control","Yes | evidence: Samples from bone marrow, not brain | justification: Bone marrow is not a CNS region affected by ALS-FTD",No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: Microarray technology is compatible with inclusion criteria,"justification: Although the dataset uses human microarray profiling, it does not involve ALS-FTD, CNS tissue, or a case/control design, and thus fails multiple inclusion criteria.",No,No,False,,,,,,,,,
