custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Affymetrix U133A chips | justification: The dataset uses human microarray gene expression profiling (Affymetrix U133A) on blood samples.,"No | evidence: Title: Gene expression patterns in peripheral blood correlate with the extent of coronary artery disease | justification: The study focuses on coronary artery disease, not ALS-FTD.","No | evidence: Samples: circulating leukocytes (peripheral blood) | justification: The samples are from blood, not CNS tissue.","No | evidence: Sample type: peripheral blood leukocytes from patients | justification: This is a clinical blood-based study, not in vitro or model systems.",Yes | evidence: 110 patients with CAD versus 112 matched controls (CADi=0) | justification: A parallel-group case/control design comparing CAD patients to controls.,Yes | evidence: Source material: circulating leukocytes | justification: Blood is not a CNS region and is irrelevant to ALS-FTD neurodegeneration.,No | evidence: Transcription profiling by array; Affymetrix U133A | justification: Microarray technology is compatible with inclusion criteria.,"justification: Although the dataset meets microarray and case/control criteria, it studies coronary artery disease in peripheral blood rather than ALS-FTD in CNS tissues, and thus does not match the target disease or relevant tissue criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Affymetrix Human U133 Plus 2.0 GeneChip | justification: Human RNA from patient biopsies was profiled on microarrays,"No | evidence: Disease: cryptorchidism (testicular malformation), not ALS-FTD | justification: Study focuses on fertility/cryptorchidism, unrelated to amyotrophic lateral sclerosis or FTD","No | evidence: Organism part: total testicular tissue | justification: Samples are testicular biopsies, not CNS or brain tissue",No | evidence: Samples are directly from patient biopsies | justification: No in vitro cell lines or disease models were used,Yes | evidence: Tissue obtained from cryptorchid boys and age-matched controls | justification: Study compares cases (cryptorchid) versus controls,"Yes | evidence: Organism part: total testicular, not brain | justification: Tissue is non-CNS and irrelevant to ALS-FTD neurodegeneration",No | evidence: Technology: microarray (Affymetrix arrays) | justification: Compatible with microarray expression profiling,"justification: Excluded because disease focus is cryptorchidism in testicular tissue, not ALS-FTD in CNS regions",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay, RNA assay | justification: Whole-genome expression profiling was performed using microarrays","Yes | evidence: Study compares SOD1WT versus SOD1(G93A) mutant, a well-characterized ALS mutation | justification: The SOD1(G93A) mutation is a recognized cause of familial ALS",No | evidence: Samples are from SH-SY5Y neuroblastoma cell line | justification: No human brain or CNS tissue was profiled,"Yes | evidence: Cell type/line: neuroblastoma SH-SY5Y | justification: In vitro cell model expressing mutant SOD1, not clinical patient samples","No | evidence: Comparison is between transfected cell line conditions, not patient cases versus healthy controls | justification: Study design models disease in vitro rather than a clinical case/control cohort","Yes | evidence: Samples derived from a neuroblastoma cell line, not specific CNS regions | justification: No ALS-relevant brain regions were assayed","No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: Study uses microarray, compatible with inclusion criteria","justification: Despite using human microarrays on SOD1-ALS model, the dataset is based on an in vitro SH-SY5Y cell line model with no patient tissue or case/control design and no relevant brain region sampling, thus fails inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: 16S rRNA genes were PCR amplified and DNA-DNA hybridization was performed using a microarray for over 300 bacterial species | justification: This is a microbial profiling array (bacterial species), not human gene expression microarray","No | evidence: Source Characteristics list Disease: periodontitis | justification: The study focuses on periodontitis, not ALS-FTD",No | evidence: Samples are gingival crevicular fluid and subgingival plaque | justification: No CNS or brain tissue samples are involved,No | evidence: Samples were taken directly from periodontitis patients | justification: No in vitro cell lines or disease models are used,No | evidence: Comparison is between gingival crevicular fluid and subgingival plaque within periodontitis patients; no healthy control group | justification: Not a case/control design of disease versus control,No | evidence: No brain regions sampled | justification: Study does not involve any CNS tissue,"No | evidence: Technology: Array assay | justification: Microarray technology is compatible, though used for bacterial profiling",justification: Fails multiple inclusion criteria: not human transcriptome profiling of ALS-FTD in CNS tissues and no case/control design,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Affymetrix microarrays | justification: The dataset uses Affymetrix microarrays for gene expression profiling.,"No | evidence: Description: human colon cancer cells; Disease: Not found | justification: Dataset pertains to colon cancer xenografts, not ALS-FTD.","No | evidence: Samples: mouse ileum/colon myofibroblasts and human colon cancer cells | justification: Samples originate from intestinal tissues and cancer cell lines, not CNS.","Yes | evidence: Cell line: T84, Caco2; cultured in mouse xenografts | justification: Involves human cancer cell lines and mouse xenograft models, not direct patient tissue.",No | evidence: Experimental Designs: Not found any case/control assignments | justification: No case versus control grouping is described.,"Yes | evidence: Organism part: ileum, colon | justification: Samples are from gastrointestinal tissues unrelated to ALS-FTD–affected CNS regions.",No | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Microarray technology is compatible with inclusion criteria.,justification: Excluded because it studies colon cancer cell lines and mouse fibroblasts rather than human CNS tissue or ALS-FTD cases.,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: Description: “NanoString nCounter miRNA expression assay” | justification: Uses NanoString hybridization/counting platform, not standard microarray expression profiling.","Yes | evidence: Source characteristics: Disease: Sporadic amyotrophic lateral sclerosis (SALS) | justification: Includes human ALS subjects, fitting the ALS-FTD spectrum.","No | evidence: Cell type: CD14+CD16- monocytes from peripheral blood | justification: Samples are blood‐derived immune cells, not brain/CNS tissue.",No | evidence: Samples: FACS sorted peripheral blood monocytes from human subjects | justification: Primary patient cells used directly; no in vitro cell lines or engineered models in the human data.,"Yes | evidence: Experimental factor: Disease state includes ALS, healthy control (and MS) | justification: Includes ALS cases and healthy controls for differential analysis.","No | evidence: No brain or CNS tissue sampled | justification: No brain regions are involved, so none are irrelevant.",Yes | evidence: Technology: NanoString nCounter miRNA expression assay | justification: NanoString is not a microarray platform; incompatible with microarray profiling criteria.,justification: Excluded because it does not use standard microarray technology and does not sample CNS tissues relevant to ALS-FTD.,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: The dataset uses Agilent human microRNA microarrays for expression profiling of patient tissue.,"No | evidence: Title: MiRNA expression profiling in human medullary thyroid carcinoma; Description: analysis of thyroid carcinoma tissue | justification: The disease studied is medullary thyroid carcinoma, not ALS-FTD.","No | evidence: Source Characteristics: Organism part: thyroid | justification: Samples are from thyroid tissue, not central nervous system.","No | evidence: Samples: matched tumor and adjacent normal frozen tissues from patients | justification: Data derive from patient tissue specimens, not in vitro cell lines or animal models.",Yes | evidence: Matched tumor and adjacent normal tissue from 24 patients | justification: Study compares tumor (case) vs adjacent normal tissue (control) in a paired design.,No | evidence: Organism part: thyroid | justification: No brain or CNS regions are sampled at all.,"No | evidence: Technology: Array assay; Study type: transcription profiling by array | justification: The platform is a microarray, which is compatible with the inclusion criteria.","justification: Although the dataset meets the criterion for human microarray profiling and has a case/control design, it does not study ALS-FTD or involve CNS tissue, so it must be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Dataset uses human RNA microarray expression profiling,No | evidence: Title: Gene expression analysis of ALS skeletal muscle; Disease: ALS only | justification: Dataset focuses on ALS-related muscle atrophy without FTD features,"No | evidence: Organism part: deltoid, quadriceps | justification: Samples are from skeletal muscle, not CNS tissue","No | evidence: Source Characteristics do not list cell lines or models | justification: Samples are primary human tissue biopsies, not in vitro or model systems",Unclear | evidence: Experimental Designs: Not found; Experimental Factors include DISEASE STATUS | justification: Disease status is specified but no explicit case vs control design described,"Yes | evidence: Organism part: deltoid, quadriceps | justification: Muscle tissues are not brain regions affected in ALS-FTD",No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: Technology is compatible microarray profiling,"justification: Although a human microarray study of ALS, samples are skeletal muscle rather than CNS and no FTD component is present, so it fails key inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: Uses human microarray for transcription profiling,No | evidence: No mention of ALS or FTD; study focuses on vaccine response in DCs and monocytes. | justification: Does not pertain to ALS-FTD,"No | evidence: Samples are monocyte-derived dendritic cells in vitro, not CNS tissue. | justification: No human brain/CNS tissue involved","Yes | evidence: Human monocyte-derived DCs and monocytes cultured and stimulated in vitro. | justification: Involves in vitro cell cultures, not clinical tissue","No | evidence: Comparisons are between different vaccine stimulations and media controls, not disease vs healthy. | justification: No case/control design relating to disease status",No | evidence: No brain regions sampled. | justification: Not applicable,No | evidence: Assay uses microarray technology. | justification: Technology is compatible,"justification: This dataset is excluded because it does not study ALS-FTD, involves in vitro immune cells rather than CNS tissue, and lacks a disease case/control design.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: The experiment uses microarray-based transcription profiling on human RNA samples.,"No | evidence: No mention of ALS, FTD, or related neurodegenerative disease in title, description, or sample annotations | justification: The study focuses on normal B-cell development, not ALS-FTD.","No | evidence: Source Characteristics: Organism part not CNS; Description: human bone marrow B cells | justification: Samples are from human bone marrow B cells, not CNS tissue.","No | evidence: Description: Cells purified by FACS from human bone marrow samples | justification: These are primary cells from human donors, not in vitro cell lines or disease models.","No | evidence: Overall Design: sorting of developmental stages; no case/control grouping | justification: The study design compares developmental stages, not patient vs. control groups.","Yes | evidence: Samples: B cells from bone marrow; not a brain region | justification: Cell type is immune B cells, not a CNS region affected in ALS-FTD.","No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: The dataset uses microarray technology, which is compatible.",justification: Does not study ALS-FTD or human CNS tissue; uses immune cells with non–case/control design; tissue irrelevant to disease.,No,No,False,,,,,,,,,
