custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Description: Gene expression assessed using Affymetrix U133A chips. | justification: The experiment used Affymetrix U133A microarrays for transcription profiling of human samples (RNA assay).,"No | evidence: Title: 'Gene expression patterns in peripheral blood correlate with the extent of coronary artery disease'; Description discusses coronary artery disease (CAD) and Duke CAD index. | justification: The study addresses coronary artery disease (CAD); there is no mention of ALS, FTD, motor neuron disease, or related terms.","No | evidence: Description: 'Gene expression profile in circulating leukocytes'; Samples/Source indicate organism Homo sapiens but organism part not CNS; Experimental material = peripheral blood leukocytes. | justification: Samples are circulating leukocytes (peripheral blood), not human brain or CNS tissue.","No | evidence: Description: Patients undergoing coronary angiography were selected; RNA extracted from 110 patients with CAD and from 112 controls. | justification: This is a clinical study using patient blood samples (in vivo), not patient-derived in vitro cell lines or experimental disease models.",Yes | evidence: Parallel group design; RNA extracted from 110 patients with CAD (CADi>23) and from 112 partially matched controls without CAD (CADi=0); Experimental Factors include PATIENT GROUP and CADI. | justification: The study compares cases (CAD patients) to controls in a parallel group case/control design.,Yes | evidence: Samples are circulating leukocytes/peripheral blood (no brain regions sampled); Organism part not specified as CNS. | justification: No brain regions are sampled; therefore it does not involve any brain regions (irrelevant for ALS-FTD CNS regions).,"No | evidence: Study type: transcription profiling by array; Technology: Array assay; Affymetrix U133A microarrays used. | justification: The technology is microarray expression profiling, which is compatible with inclusion; no RNA-seq or proteomics.","justification: Although this is a human microarray, case/control study, it does not meet disease or tissue inclusion criteria: it studies coronary artery disease using peripheral blood leukocytes rather than ALS-FTD and CNS tissue. Therefore it should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; cRNA synthesis, human U133 plus 2.0 GeneChip hybridization; Organism: Homo sapiens. | justification: The study used Affymetrix human U133 Plus 2.0 arrays on RNA from human samples, so it is human microarray expression profiling.",No | evidence: Title: 'EGR4 is a master gene responsible for fertility in cryptorchidism'; Description: RNA was isolated from testicular biopsies of cryptorchid boys; Disease field: Not found. | justification: The dataset concerns cryptorchidism/fertility in boys and contains no mention of ALS or frontotemporal dementia.,"No | evidence: Samples: Organism part: total testicular; Description: Whole testicular tissue was gained from cryptorchid boys aged 10 months to 4.5 years. | justification: Samples are testicular tissue, not brain/CNS tissue.","No | evidence: Description: Whole testicular tissue biopsies were collected and processed for RNA isolation; no cell lines or model systems described. | justification: The study uses patient tissue biopsies, not patient-derived in vitro cell lines or experimental disease models.","Yes | evidence: Description: 'Whole testicular tissue was gained from cryptorchid boys ... as well as from controls of identical age.' | justification: The study compares affected individuals (cryptorchid boys) to age-matched controls, consistent with a case/control design.",Yes | evidence: Organism part: total testicular; Samples and description exclusively describe testicular biopsies. | justification: Tissue sampled (testis) is not a brain region and is not relevant to ALS-FTD neurodegeneration.,"No | evidence: Technology: Array assay; cRNA synthesis and hybridization to human U133 plus 2.0 GeneChip (Affymetrix). | justification: The platform is microarray, which is compatible with the inclusion requirement for microarray expression profiling.","justification: Although this is a human microarray, case/control study, the dataset does not pertain to ALS-FTD and does not contain CNS/brain tissue (samples are testicular biopsies). Therefore it fails the disease- and tissue-related inclusion criteria and should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens. | justification: The experiment used microarray-based transcription profiling on human-derived material (SH-SY5Y cell line).,"Yes | evidence: Title: Profiling wt SOD versus ALS SOD1(G93A) mutant; Description: SH-SY5Y transfected with SOD1WT or mutant SOD1(G93A). | justification: SOD1(G93A) is a well-known ALS-associated mutation and the study explicitly compares wild-type versus ALS SOD1 mutant, indicating relevance to ALS.",No | evidence: Samples: Cell line: neuroblastoma SH-SY5Y; Organism part / organism part: not provided; no human brain/CNS tissue reported. | justification: All samples are an in vitro neuroblastoma cell line rather than human brain/CNS tissue.,"Yes | evidence: Description: SH-SY5Y cells stably transfected with cDNAs for SOD1WT or SOD1(G93A); Sample attributes: Cell line: neuroblastoma SH-SY5Y. | justification: The dataset is an in vitro disease model using a transfected cell line (not patient tissue), meeting the exclusion criterion for patient-derived in vitro models/disease models.","Yes | evidence: Description: Five wt SOD versus five mutant SOD. | justification: The study compares two groups (wild-type SOD1 and mutant SOD1), consistent with a case/control style comparison.","No | evidence: No brain regions sampled; samples are SH-SY5Y cell line. | justification: Because no anatomical brain/CNS regions were profiled, the question of sampling irrelevant brain regions does not apply.","No | evidence: Technology: Array assay; Assay by molecule: RNA assay; Study type: transcription profiling by array. | justification: The platform is microarray-based, which is compatible with the inclusion requirement for microarray expression profiling.","justification: Although the dataset uses human microarray profiling and addresses an ALS-associated SOD1 mutation, it is an in vitro disease model using a transfected neuroblastoma cell line rather than human CNS tissue from patients. Per exclusion criterion 4 (patient-derived in vitro cell lines or disease models) and criterion 3 (requires CNS tissue relevant to ALS-FTD), this dataset should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Study title/description: analysis of gingival crevicular fluid (GCF) bacteria; methodology: 16S rRNA genes were PCR amplified and DNA-DNA hybridization performed using a microarray for >300 bacterial species. | justification: The array interrogates bacterial 16S sequences to profile microbiota, not human mRNA expression profiling on a human transcriptome microarray.","No | evidence: Samples/disease: Disease state listed as periodontitis; description discusses periodontal disease in 17 subjects. | justification: Dataset pertains to periodontitis (oral microbiota), not amyotrophic lateral sclerosis or frontotemporal dementia.",No | evidence: Sample source: gingival crevicular fluid and subgingival plaque; Organism: Homo sapiens; Organism part not CNS. | justification: Samples are oral (GCF/PP) and do not involve human brain or CNS tissue.,"No | evidence: Description: clinical samples from 17 subjects with periodontal disease; no cell lines or disease models reported. | justification: Study uses patient clinical samples (GCF/PP), not patient-derived in vitro cell lines or model systems.",No | evidence: Experimental designs: Not found; study compares GCF versus subgingival plaque within periodontitis patients; no healthy control group or case/control for a neurodegenerative disease reported. | justification: There is no case (disease) versus healthy control design relevant to ALS-FTD; samples are from periodontitis patients and intra-site comparisons.,"Yes | evidence: Samples are gingival crevicular fluid and subgingival plaque (oral tissues), not brain regions. | justification: Dataset does not involve any CNS regions; tissues sampled are irrelevant to ALS-FTD neurodegeneration.","No | evidence: Technology listed: Array assay; Assay by Molecule: RNA assay; description: DNA-DNA hybridization microarray. | justification: Technology is a microarray (hybridization) rather than RNA-seq or proteomics; it is not incompatible per se, but it targets bacterial 16S sequences rather than human transcriptome profiling.","justification: Exclude. The dataset profiles oral microbiota (16S DNA hybridization microarray) from periodontitis patients, not human transcriptome microarray data from CNS tissue nor related to ALS-FTD. It therefore fails inclusion criteria 1–3 (human transcriptome microarray, ALS-FTD disease, CNS tissue).",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Description: 'We also isolated human colon cancer cells from xenografts ... We used Affymetrix microarrays to detail the global gene expression profiles...' Samples: Organism: Homo sapiens, Mus musculus. Assays and Data: Technology: Array assay; Assay by Molecule: RNA assay. | justification: The study used Affymetrix microarrays to profile RNA from human colon cancer cells (Caco2, T84) recovered from xenografts, so it includes human microarray expression data.","No | evidence: Title/Description: study is about subepithelial myofibroblasts and human colon cancer cells in mouse xenografts; no mention of ALS, FTD, motor neuron disease, or related terms. Samples: Disease: Not found. | justification: The dataset concerns colon cancer and intestinal/myofibroblast biology, not ALS-FTD or related neurodegenerative disease.","No | evidence: Description: tissues/cells are mouse ileum or colon myofibroblasts and human colon cancer cells (Caco2, T84). Samples: Organism part: Not found, but all described tissues are intestinal/colon. | justification: No brain or CNS tissues are sampled; the study focuses on intestinal/colon cells and cancer cell lines.","Yes | evidence: Description: 'isolated myofibroblasts ... expanded cells in culture before expression array analysis' and 'isolated DsRed-expressing Caco2 or T84 cells after 5 weeks of growth in NOD/SCID mice', Samples list cell lines: T84, Caco2. | justification: The study uses cultured primary mouse cells and human cancer cell lines grown in xenograft disease models, i.e. non-clinical in vitro/in vivo models, which meet the exclusion criterion.","No | evidence: Experimental Designs: Not found. Experimental Factors: CELL LINE, ORGANISM, CELL TYPE. No indication of patient case versus control groups or clinical disease staging. | justification: There is no case/control clinical study design; comparisons are experimental (cell types, organisms, cell lines) rather than patient case vs healthy control.","Yes | evidence: Description and title specify ileum/colon and intestinal subepithelial myofibroblasts; no brain regions are sampled. | justification: Sampled tissues (ileum, colon, colorectal cancer cells) are not CNS regions and are irrelevant for ALS-FTD neuropathology.",No | evidence: Study type: transcription profiling by array. Assays and Data: Technology: Array assay; Assay by Molecule: RNA assay. | justification: The technology is microarray-based RNA expression profiling (compatible); there is no RNA-seq or proteomics-only assay reported.,"justification: Exclude. Although the dataset contains human microarray data, it does not pertain to ALS-FTD, does not sample human CNS tissue, uses cell lines and xenograft models (non-clinical), and lacks a clinical case/control design. These fail multiple inclusion criteria and meet exclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Description: ""This study used the NanoString nCounter miRNA expression assay to identify and quantitate miRNAs..."" Study type: ""transcription profiling by array""; Technology: ""Array assay"" | justification: Although labeled as 'array' in metadata, the assay is NanoString nCounter miRNA profiling (targeted hybridization/counting), not a genome-wide microarray platform. The inclusion criterion requires human microarray expression profiling specifically.","Yes | evidence: Title: ""...from amyotrophic lateral sclerosis, multiple sclerosis and healthy control subjects""; Sample attributes: Disease: ""Sporadic amyotrophic lateral sclerosis (SALS)"" | justification: The dataset includes samples from sporadic ALS patients and explicitly references ALS in title and sample metadata.","No | evidence: Title and Sample attributes: ""peripheral blood sorted CD14+CD16- monocytes""; Organism part: Not found; Cell type: CD14+CD16- monocytes | justification: Samples are peripheral blood–derived monocytes, not human brain or CNS tissue.","No | evidence: Samples: ""FACS sorted CD14+CD16- blood-derived monocytes from sporadic ALS (n=8), MS (n=8) and HC (n=8) subjects""; Organism: Homo sapiens | justification: Data are from primary patient blood cells (ex vivo sorted monocytes), not patient-derived in vitro cell lines or experimental disease model samples. Although the paper describes SOD1 mouse model work, the deposited dataset contains human monocyte profiles.","Yes | evidence: Experimental Factors: DISEASE STATE with levels ""multiple sclerosis, Sporadic amyotrophic lateral sclerosis (SALS), healthy control""; Description: sample counts ALS (n=8), MS (n=8), HC (n=8) | justification: The study compares disease groups (ALS, MS) to healthy controls, consistent with a case/control design.",No | evidence: Samples are peripheral blood CD14+CD16- monocytes (no brain region specified) | justification: No brain regions are sampled; therefore the question of irrelevant brain regions does not apply.,"Yes | evidence: Description: ""NanoString nCounter miRNA expression assay""; Technology: Array assay; Assay by Molecule: RNA assay | justification: The dataset uses NanoString nCounter targeted miRNA profiling rather than a conventional genome-wide microarray platform. This technology is not the microarray expression profiling required by the inclusion criteria and is therefore considered incompatible for the microarray-focused screen.","justification: Exclude. Although the dataset contains human ALS patient samples and a case/control design, it does not meet key inclusion criteria: samples are peripheral blood monocytes (not CNS tissue relevant to ALS-FTD) and the assay is NanoString miRNA profiling (targeted nCounter), not the required human microarray expression profiling. Therefore it should not be included.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Description: human microRNA Microarray Kit Agilent used on patient tissues; Organism: Homo sapiens. | justification: This is a human microarray-based miRNA expression profiling study (Agilent microRNA microarray on human tumor and adjacent normal tissues).,"No | evidence: Title and description: 'MiRNA expression profiling in human medullary thyroid carcinoma' — matched tumor and adjacent normal thyroid tissues from patients. | justification: The disease under study is medullary thyroid carcinoma, not amyotrophic lateral sclerosis or frontotemporal dementia (ALS-FTD).","No | evidence: Source characteristics: Organism part: thyroid; Description: matched tumor and adjacent normal frozen tissues obtained from thyroid of patients. | justification: Samples are from thyroid tissue, not brain or other CNS regions.",No | evidence: Description: matched tumor and adjacent normal frozen tissues were obtained from patients; no mention of cell lines or in vitro disease models. | justification: The study uses primary patient tissue specimens rather than patient-derived cell lines or experimental disease models.,"Yes | evidence: Description: matched tumor and adjacent normal tissue were obtained and hybridized; Experimental Factors include 'tissue type' (normal vs lesion). | justification: The design compares lesion (tumor) versus matched adjacent normal tissue, which constitutes a case/control (paired) design.",Yes | evidence: Organism part: thyroid; no brain/CNS tissues sampled. | justification: The tissue sampled (thyroid) is not a CNS region and is not relevant to ALS-FTD neurodegeneration.,"No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Description: human microRNA Microarray Kit Agilent. | justification: The study used microarray technology (miRNA microarray), which is compatible with microarray expression profiling inclusion criteria.","justification: Although this is a human microarray study with a case/control (tumor vs adjacent normal) design, it examines medullary thyroid carcinoma tissue (thyroid, non-CNS) rather than ALS-FTD or relevant CNS regions. Therefore it does not meet the disease- or tissue-related inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: The study is transcription profiling using microarray technology on human samples.,No | evidence: Title: 'Gene expression analysis of ALS skeletal muscle'; Description references ALS-related atrophy. No mention of frontotemporal dementia or ALS-FTD. | justification: The dataset is focused on ALS (muscle pathology) and does not pertain to ALS-FTD or include FTD-related diagnosis information.,"No | evidence: Organism part: deltoid, quadriceps (muscle biopsies). | justification: Samples are skeletal muscle (deltoid, quadriceps), not brain or other CNS tissue.","No | evidence: Description: gene expression profiling and real time PCR were performed on muscle biopsies; Sample source indicates organism part rather than cell lines. | justification: Data derive from patient tissue biopsies, not patient-derived in vitro cell lines or disease models.","Unclear | evidence: Experimental Factors include DISEASE STATUS, but 'Experimental Designs: Not found' and no explicit statement of control samples in provided metadata. | justification: Presence of a DISEASE STATUS factor suggests possible case/control comparisons, but the design (e.g., number of controls vs cases) is not explicitly described in the available metadata.","Yes | evidence: Organism part: deltoid, quadriceps (skeletal muscle), not brain regions. | justification: Samples are peripheral skeletal muscle, which are not CNS brain regions and thus are outside the ALS-FTD-relevant neurodegenerative tissues required for inclusion.",No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The assay is microarray-based and therefore compatible with the included technology.,"justification: Although this is a human microarray transcription profiling study, it investigates skeletal muscle in ALS patients and does not involve CNS brain tissue nor ALS-FTD diagnosis. Therefore it fails the disease-specific (ALS-FTD) and CNS tissue inclusion criteria and should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens; Description: 'we used gene microarrays to characterize the transcriptional programs...'. | justification: The experiment uses gene expression microarrays on human-derived samples (monocytes/moDCs), so it is human microarray expression profiling.","No | evidence: Description and sample annotations discuss vaccine responses in monocytes and monocyte-derived dendritic cells; no mention of ALS, FTD, neurodegeneration, or related clinical diagnoses. | justification: The study is immunology/vaccine-focused and does not pertain to ALS-FTD.","No | evidence: Sample descriptions and title specify monocytes and IL4-derived dendritic cells (moDCs) stimulated in vitro; 'Organism part' is not provided and no brain/CNS tissue is described. | justification: Samples are peripheral immune cells cultured in vitro, not human CNS/brain tissue.","Yes | evidence: Description: 'monocyte-derived DCs (moDCs) in vitro' and title: 'IL4 DCs and monocytes stimulated...'; Experimental factors include 'culture conditions' and 'donor id'. | justification: This is an in vitro stimulation experiment using primary immune cells (monocytes/moDCs) from donors rather than patient brain tissue or clinical samples—i.e., patient-derived in vitro cells.","No | evidence: Experimental Designs: Not found; Experimental Factors list concentration, culture conditions, cell population, donor id; controls are media-treated samples rather than disease vs healthy patient groups. | justification: The study compares stimulated vs media control in vitro conditions, not clinical case versus control (diseased vs healthy) groups.",No | evidence: No brain regions or CNS tissues are reported; samples are monocytes and moDCs. | justification: The dataset does not involve any brain regions (relevant or irrelevant) – it uses peripheral immune cells.,"No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The technology is microarray-based expression profiling, which is compatible with inclusion (not RNA-seq or proteomics).","justification: Exclude. Although this is human microarray expression profiling, it is an in vitro vaccine/stimulation study of peripheral immune cells (monocytes/moDCs), not related to ALS-FTD, does not use CNS/brain tissue, and is not a clinical case/control design. These factors violate multiple inclusion criteria (target disease, tissue, and study design).",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: Human samples were profiled using microarray-based transcription profiling (RNA on array).,"No | evidence: Title and description focus on B cell development; Disease field is not provided and there is no mention of ALS or FTD. | justification: The study addresses stages of B cell development, not amyotrophic lateral sclerosis or frontotemporal dementia.","No | evidence: Description: ""Cells from four developmental stages were purified by FACS from human bone marrow samples""; samples are CD19+ B cells from bone marrow. | justification: Samples are bone marrow–derived B cells, not brain or other CNS tissue.","No | evidence: Cells were FACS-purified from human bone marrow samples; described as primary sorted cells, not cell lines or models. | justification: This is primary ex vivo human B cell material, not patient-derived in vitro cell lines or experimental disease models.","No | evidence: Experimental design: cells sorted into four developmental stages (PB1, PB2, LAR, SMA); no case/control or disease vs control groups reported. | justification: The study compares developmental stages of B cells rather than patient vs control groups.","Yes | evidence: Samples originate from bone marrow B cells, not any brain region. | justification: Bone marrow / peripheral B cells are not CNS regions affected by ALS-FTD, so the sampled tissue is irrelevant to ALS-FTD neurodegeneration.",No | evidence: Technology listed as Array assay; Assay by Molecule: RNA assay; study type: transcription profiling by array. | justification: The dataset uses microarray transcription profiling (compatible); it does not use incompatible technologies such as RNA-seq or proteomics.,"justification: Although the dataset is human microarray transcription profiling, it studies B cell development using bone marrow–derived cells, not ALS-FTD, does not sample CNS tissue, and is not a case/control disease study. Therefore it fails multiple inclusion criteria and should be excluded.",No,No,False,,,,,,,,,
