custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; 'Gene expression...in circulating leukocytes' assessed using Affymetrix U133A chips; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The experiment used Affymetrix U133A microarrays to profile RNA from human samples (circulating leukocytes), so it is human microarray expression profiling.","No | evidence: Title/Description: 'Gene expression patterns in peripheral blood correlate with the extent of coronary artery disease'; RNA was extracted from 110 patients with CAD and 112 controls (CADi metrics). | justification: The study focuses on coronary artery disease (CAD), not ALS or frontotemporal dementia.","No | evidence: Description: 'Gene expression profile in circulating leukocytes'; samples are peripheral blood leukocytes (no organism part / brain region reported). | justification: Samples are peripheral blood (circulating leukocytes), not human brain/CNS tissue.","No | evidence: Description indicates RNA was extracted from patients undergoing coronary angiography (110 patients with CAD and 112 controls); samples are clinical peripheral blood specimens. | justification: This is an in vivo clinical patient study using blood samples, not patient-derived in vitro cell lines or disease models.","Yes | evidence: RNA was extracted from 110 patients with CAD (CADi>23) and from 112 partially matched controls without CAD (CADi=0); 'parallel group design' noted. | justification: The study compares cases (CAD patients) to controls, i.e., a case/control design.",Yes | evidence: Samples are circulating leukocytes (peripheral blood); no brain regions or CNS tissues sampled. | justification: The dataset does not include CNS brain regions and therefore does not sample regions relevant to ALS-FTD neurodegeneration.,"No | evidence: Study type: transcription profiling by array; Affymetrix U133A chips used; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The technology is microarray-based expression profiling, which is compatible with inclusion requirements (not RNA-seq or proteomics).","justification: Although the dataset is human and uses microarray expression profiling with a case/control design, it does not pertain to ALS-FTD and does not include CNS tissue—samples are peripheral blood leukocytes from patients with coronary artery disease—so it fails the disease- and tissue-related inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Description: cRNA synthesis, human U133 plus 2.0 GeneChip hybridization; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The study used Affymetrix Human U133 Plus 2.0 GeneChip microarrays to profile RNA from human tissue (testicular biopsies), consistent with human microarray expression profiling.","No | evidence: Title: 'EGR4 is a master gene responsible for fertility in cryptorchidism'; Description: RNA was isolated from testicular biopsies of cryptorchid boys. | justification: The dataset studies cryptorchidism/fertility in testicular tissue, not amyotrophic lateral sclerosis or frontotemporal dementia (ALS-FTD).","No | evidence: Samples: Organism part: total testicular; Description: Whole testicular tissue was gained from cryptorchid boys ... | justification: Samples are human testicular biopsies, not brain or other CNS tissues.","No | evidence: Description: Whole testicular tissue was gained from cryptorchid boys ... Each biopsy sample was collected for RNA isolation and GeneChip hybridization. | justification: The dataset uses primary human tissue biopsies, not patient-derived in vitro cell lines or experimental disease models.","Yes | evidence: Description: ... from cryptorchid boys aged 10 months to 4.5 years as well as from controls of identical age. | justification: The study includes cryptorchid cases and age-matched controls, consistent with a case/control design.","Yes | evidence: Samples: Organism part: total testicular; Description: testicular biopsies. | justification: The dataset does not sample any brain regions; it uses testis tissue, which is not a CNS region affected by ALS-FTD.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; Description: Affymetrix arrays U133 Plus 2.0. | justification: The technology is microarray (Affymetrix), which is compatible with the inclusion criteria; no RNA-seq or proteomics were used.","justification: Exclude. Although this is human microarray data and uses a case/control design, the dataset studies cryptorchidism using testicular tissue and is unrelated to ALS-FTD and CNS regions. It therefore fails the disease- and tissue-related inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens | justification: The study uses array-based whole-genome transcription profiling (microarray) on human-derived material (SH-SY5Y cells).,"Yes | evidence: Title: Profiling wt SOD versus ALS SOD1(G93A) mutant; Description: comparison of SOD1WT and SOD1(G93A) | justification: SOD1 G93A is a well-known ALS-associated mutation; the study explicitly compares wild-type SOD1 to an ALS mutant, so it pertains to ALS.",No | evidence: Samples: Cell line: neuroblastoma SH-SY5Y; Organism part: Not found; No tissue/brain region reported | justification: The dataset uses an in vitro neuroblastoma cell line rather than human brain/CNS tissue samples.,"Yes | evidence: Description: SH-SY5Y cells stably transfected with cDNAs coding for SOD1WT or SOD1(G93A); Sample attribute: Cell line: neuroblastoma SH-SY5Y | justification: This is an in vitro disease model (transfected human neuroblastoma cell line), not patient tissue.","Yes | evidence: Description: Five wt SOD versus five mutant SOD | justification: The experiment compares two groups (wild-type SOD1 vs mutant SOD1), i.e., a case/control-style comparison, albeit in vitro.","No | evidence: Organism part: Not found; Samples are cell line (SH-SY5Y) rather than brain regions | justification: No brain regions are sampled, so the question of sampling an irrelevant brain region does not apply; the dataset does not involve brain regions not affected by ALS-FTD.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: The technology is microarray-based expression profiling, which is compatible with inclusion (not RNA-seq or proteomics).","justification: Although the dataset is human, microarray-based, ALS-related, and uses a two-group comparison, it should be excluded because it is an in vitro disease model using a transfected neuroblastoma cell line (criterion 4) and does not contain human CNS tissue (criterion 3). These violate inclusion requirements.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Study uses DNA extraction, PCR amplification of 16S rRNA genes and DNA–DNA hybridization on a microarray for >300 bacterial species to profile subgingival microbiota; samples are gingival crevicular fluid and plaque from periodontitis patients. | justification: The array assays profile bacterial 16S rRNA / species presence (microbial community profiling), not human gene expression (human mRNA) microarray expression profiling.","No | evidence: Sample disease annotation and study description indicate 'periodontitis' and analysis of gingival crevicular fluid from subjects with periodontal disease. | justification: The study concerns periodontal disease (periodontitis), not amyotrophic lateral sclerosis or frontotemporal dementia (ALS-FTD).","No | evidence: Samples are gingival crevicular fluid (GCF) and subgingival plaque (paper point samples) from the oral cavity; organism listed as Homo sapiens but 'organism part' is oral, not CNS. | justification: No brain or CNS tissues were collected or profiled; tissue source is oral microbiome material.","No | evidence: Description describes clinical samples (GCF and subgingival plaque) from 17 periodontal patients; no cell lines or experimental disease models reported. | justification: Samples are patient-derived clinical specimens, not in vitro cell lines or model systems.",No | evidence: Study reports profiling of GCF and plaque from 17 subjects with periodontal disease; no indication of case vs healthy control groups in the metadata or description. | justification: Design compares sample types within periodontal patients rather than a case/control (disease vs healthy) study relevant to ALS-FTD.,"Yes | evidence: Tissue sampled is gingival crevicular fluid and subgingival plaque (oral), not brain regions. | justification: No CNS regions are sampled; therefore the dataset does not involve ALS-FTD–relevant brain regions and is irrelevant to brain-region inclusion criteria.","Yes | evidence: Methodology: PCR of bacterial 16S rRNA genes followed by DNA–DNA hybridization on a species-level microarray (microbial profiling). Assay describes 'Array assay' and 'RNA assay' but the experiment targets bacterial species via 16S amplicons. | justification: Although an array platform is used, the technology and target (microbial 16S profiling / species detection) are incompatible with the required human whole-transcriptome microarray expression profiling for ALS-FTD.",justification: Exclude: dataset profiles oral microbial 16S-based species presence in periodontitis patients (not human mRNA expression); no ALS-FTD relevance; no CNS/brain tissue; not a case/control ALS-FTD design; technology targets microbial taxonomy rather than human microarray expression profiling.,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Title/Description: 'We used Affymetrix microarrays... analyzed gene expression in sorted human cancer cells.' Assays: Technology: Array assay; Assay by Molecule: RNA assay. | justification: The study used Affymetrix microarrays to profile RNA, and included expression profiling of human colon cancer cells (in addition to mouse fibroblasts).","No | evidence: Description and sample annotations indicate colon cancer cells, myofibroblasts, xenografts; no mention of ALS, FTD, neurodegenerative disease or related terms. | justification: The study focuses on colon cancer and intestinal myofibroblasts, not ALS-FTD.","No | evidence: Description: myofibroblasts from mouse ileum or colon, human colon cancer cells from xenografts. Sample annotations list organism part: not found; cell types: subepithelial myofibroblasts, cancer cells. | justification: Samples are intestinal (ileum/colon) and cancer cell lines, not human brain or CNS tissue.","Yes | evidence: Experimental Factors list CELL LINE; cell lines specified: T84, Caco2; description states cells were expanded in culture and grown in NOD/SCID mouse xenografts. | justification: The dataset uses established human cancer cell lines and cultured/expanded fibroblasts and mouse xenograft models — non-clinical in vitro/in vivo models.","No | evidence: Experimental Designs: Not found. Experimental Factors: CELL LINE, ORGANISM, CELL TYPE. No case/control groups or disease vs control comparisons described. | justification: No case/control clinical study design is present; samples are experimental cell lines/xenografts.","Yes | evidence: Samples and description indicate ileum/colon and colon cancer cells; no brain regions sampled. | justification: Tissues sampled are non-CNS (intestinal), therefore not regions affected by ALS-FTD.","No | evidence: Assays and Description: 'transcription profiling by array', 'Affymetrix microarrays', Technology: Array assay, RNA assay. | justification: The technology is microarray-based expression profiling, which is compatible with inclusion (but other exclusion criteria apply).","justification: Exclude: although microarray-based and includes human samples, the study does not pertain to ALS-FTD, does not sample human CNS tissue, uses in vitro/cell line and xenograft models, and lacks a case/control clinical design. Therefore it fails multiple inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Unclear | evidence: Study type listed as 'transcription profiling by array'; Technology: 'Array assay'; Description: 'NanoString nCounter miRNA expression assay' on human samples. | justification: The dataset is human expression profiling but uses NanoString nCounter miRNA assays (hybridization/digital counting) rather than classic oligonucleotide microarrays. ArrayExpress labels it as an 'array' assay, but it is not a conventional microarray platform, so compatibility with the strict 'microarray' inclusion criterion is ambiguous.","Yes | evidence: Sample annotations list 'Sporadic amyotrophic lateral sclerosis (SALS)' among disease states; description and title explicitly reference ALS subjects. | justification: The dataset includes sporadic ALS patient samples, so it pertains to ALS within the ALS-FTD disease spectrum (no FTD samples reported).","No | evidence: Cell type: 'CD14+CD16- monocytes'; Description: 'blood CD14+CD16- monocytes from ALS, MS and HC subjects'; Organism part not listed as brain or CNS. | justification: Samples are FACS-sorted peripheral blood monocytes, not human brain/CNS tissue.","No | evidence: Samples are sorted blood-derived CD14+CD16- monocytes from human ALS, MS and healthy control subjects. | justification: The dataset comprises primary patient blood cells; it does not consist of patient-derived in vitro cell lines or experimental disease models (although the study description references parallel mouse SOD1 model work, the deposited human data are clinical blood samples).","Yes | evidence: Experimental Factors include 'DISEASE STATE' with values 'Sporadic amyotrophic lateral sclerosis (SALS)', 'multiple sclerosis', and 'healthy control'. | justification: Subjects are grouped into disease (ALS, MS) and healthy control cohorts, representing a case/control-style design for comparisons.","No | evidence: No brain/CNS regions are sampled; samples are peripheral blood monocytes. | justification: Because no brain regions are involved, the question of irrelevant brain regions does not apply; the dataset does not sample brain areas that would be considered irrelevant.","No | evidence: Technology: 'Array assay'; Assay description: 'NanoString nCounter miRNA expression assay' (RNA assay). | justification: The dataset does not use RNA-seq or proteomics. Although NanoString is not a traditional microarray platform, it is an RNA expression assay and therefore not among the explicitly excluded technologies (RNA-seq/proteomics).","justification: Exclude. Although the study includes human ALS cases and is an expression profiling assay, samples are peripheral blood CD14+CD16- monocytes rather than human CNS tissue relevant to ALS-FTD. Additionally, the platform is NanoString miRNA profiling (not classic microarray), making it a poor match for the requirement of human CNS microarray expression profiling. The primary exclusion reason is wrong tissue (non-CNS).",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Description: 'human microRNA Microarray Kit Agilent'; Assays and Data: Technology: Array assay; Assay by Molecule: RNA assay. | justification: The study used Agilent microRNA microarrays on human samples (miRNA expression profiling by array).,"No | evidence: Title: 'MiRNA expression profiling in human medullary thyroid carcinoma'; Description refers to medullary carcinoma of the thyroid and tumour/adjacent normal thyroid tissues. | justification: The disease studied is medullary thyroid carcinoma, not amyotrophic lateral sclerosis or frontotemporal dementia (ALS-FTD).","No | evidence: Experimental Factors > Source Characteristics: Organism part: thyroid; Description: matched tumor and adjacent normal frozen tissues were obtained from thyroid of 40 patients. | justification: Samples are from thyroid tissue (peripheral endocrine organ), not human brain/CNS tissue.","No | evidence: Description: 'Matched tumor and adjacent normal tissue were obtained from 24 patients...'; Samples list indicates tissue, no cell lines or in vitro models mentioned. | justification: The study used patient tissue samples (tumor and adjacent normal), not patient-derived cell lines or disease models.",Yes | evidence: Description: 'Matched tumor and adjacent normal tissue were obtained from 24 patients and analysed...'; Normal tissue (suffix S) and lesional tissue (suffix L) were hybridized on microarray. | justification: Design compares case (tumor) versus control (matched adjacent normal) samples (paired case/control design).,Yes | evidence: Organism part: thyroid; no CNS/brain regions listed in samples or description. | justification: The dataset does not include brain regions; thyroid is not a CNS region and therefore not relevant to ALS-FTD neurodegeneration.,No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Description: microRNA Microarray Kit Agilent. | justification: The technology is microarray (compatible); the study does not use RNA-seq or proteomics.,"justification: Although this is a human microarray study (miRNA) with a case/control design, it investigates medullary thyroid carcinoma using thyroid tissue rather than CNS tissue and does not concern ALS-FTD. Therefore it fails the disease- and tissue-related inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens; Assay by Molecule: RNA assay; Title: Gene expression analysis of ALS skeletal muscle. | justification: The study uses microarray-based transcription profiling on human samples (RNA assays), so it meets the human microarray expression profiling criterion.",No | evidence: Title and description refer to ALS skeletal muscle; no mention of frontotemporal dementia or ALS-FTD in metadata. | justification: The dataset targets ALS-related muscle atrophy only and does not pertain to frontotemporal dementia or the combined ALS-FTD spectrum.,"No | evidence: Organism part: deltoid, quadriceps; Description: gene expression profiling performed on muscle biopsies. | justification: Samples are skeletal muscle biopsies (peripheral tissue), not human brain/CNS tissue.",No | evidence: Samples described as muscle biopsies; no cell lines or model systems indicated in metadata. | justification: The dataset uses patient tissue biopsies rather than patient-derived in vitro cell lines or experimental disease models.,"Unclear | evidence: Experimental Factors include DISEASE STATUS, but Experimental Designs not found and disease state/staging details are not provided. | justification: Presence of a 'DISEASE STATUS' factor suggests a possible case/control comparison, but the metadata does not explicitly describe the study groups or counts to confirm a case/control design.","Yes | evidence: Organism part: deltoid, quadriceps (skeletal muscle); no brain regions listed. | justification: The sampled tissues are peripheral skeletal muscles rather than CNS/brain regions; therefore they are not relevant to brain regions affected by ALS-FTD for transcriptomic brain studies.",No | evidence: Technology: Array assay; Study type: transcription profiling by array. | justification: The technology is microarray-based and compatible with inclusion (not RNA-seq or proteomics).,"justification: Although this is a human microarray study (meets criterion 1), it uses skeletal muscle (non-CNS) tissue and focuses on ALS muscle pathology without mention of FTD or the ALS-FTD spectrum. Inclusion requires CNS tissue relevant to ALS-FTD and relevance to ALS-FTD; therefore this dataset does not meet the core inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: The experiment used gene expression microarrays on human samples (monocytes and monocyte-derived DCs), so it is human microarray expression profiling.","No | evidence: Title/Description: focuses on responses of monocytes/moDCs to human vaccines and LPS; Sample attributes: Disease: Not found. | justification: The study is about vaccine-induced transcriptional responses in immune cells and contains no mention of ALS, FTD, or related neurodegenerative disease.","No | evidence: Description references monocyte-derived DCs (moDCs) and monocytes in vitro; Organism part: Not found; Sample types are peripheral immune cells, not brain/CNS tissue. | justification: Samples are blood-derived immune cells cultured in vitro, not human brain or CNS tissue.","Yes | evidence: Description: 'monocyte-derived DCs (moDCs) in vitro'; '64 samples of IL4 DC, and 64 samples of monocytes stimulated by media...'. | justification: The dataset uses primary human immune cells differentiated and stimulated in vitro (monocyte-derived dendritic cells and monocytes), which are in vitro cell-based experiments and meet the exclusion for patient-derived in vitro cell models.","No | evidence: Experimental Designs: Not found; Experimental Factors list stimuli and donor id; Samples include multiple vaccine stimulations and media controls but no disease case vs healthy control grouping. | justification: The design compares in vitro stimuli (vaccines/LPS) vs media controls across donors, not a clinical case versus control study of disease status.","No | evidence: Organism part: Not found; all samples are immune cells (monocytes/moDCs), no brain regions sampled. | justification: The dataset does not sample any brain regions (so it does not include irrelevant brain-region samples); however, lack of CNS tissue makes it ineligible under inclusion criteria.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The technology used is microarray (compatible with inclusion), not RNA-seq or proteomics.","justification: Exclude. Although this is human microarray expression profiling (eligible by technology), the study is not about ALS-FTD, does not use human CNS/brain tissue, and uses in vitro differentiated immune cells (monocyte-derived DCs), which meets the exclusion for in vitro patient-derived cell experiments. The study is also not a clinical case/control design of disease vs control. Therefore it does not meet the disease- and tissue-specific inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens; Assay by Molecule: RNA assay. | justification: The study uses array-based transcription profiling (microarray) on human samples (Homo sapiens), measuring RNA expression.","No | evidence: Title: 'Transcription profiling of human B cells at four cconsecutive stages of B cell development'; Description: 'Cells from four develppmental stages were purified by FACS from human bone marrow samples'; Disease: Not found. | justification: The dataset concerns B cell developmental stages from bone marrow and contains no mention of ALS, FTD, or related neurodegenerative disease.","No | evidence: Description indicates cells purified from human bone marrow; Title refers to B cells and bone marrow; Organism part: Not found but context is bone marrow/B cells. | justification: Samples are peripheral/hematopoietic (bone marrow B cells), not brain or other CNS tissue.","No | evidence: Description: 'Cells from four developmental stages were purified by FACS from human bone marrow samples' — primary cell sorting from tissue; no cell line mentioned. | justification: The study uses primary human bone marrow-derived B cells sorted by FACS, not patient-derived in vitro cell lines or disease model systems.","No | evidence: Experimental Designs: unknown_experiment_design_type, transcription profiling by array; Experimental Factors: Not found; Description: profiling across developmental stages rather than case/control. | justification: The design compares developmental stages of B cells, not a case versus control disease study.",Yes | evidence: Samples are bone marrow B cells (Title and Description) — no brain/CNS regions sampled. | justification: The dataset does not sample any brain regions; tissues (bone marrow B cells) are not relevant to ALS-FTD-affected CNS regions.,"No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The technology is microarray-based expression profiling, which is compatible with the inclusion criteria (not RNA-seq or proteomics).","justification: Exclude. Although the dataset uses human microarray expression profiling, it does not pertain to ALS-FTD, does not involve human CNS/brain tissue, and is not a case/control disease study. Therefore it fails multiple inclusion criteria.",No,No,False,,,,,,,,,
