custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Methods: 'Gene expression was assessed using Affymetrix U133A chips'; Technology: Array assay; Organism: Homo sapiens. | justification: Human samples profiled by Affymetrix microarray (U133A) for RNA expression.,"No | evidence: Title/Description: 'Gene expression patterns in peripheral blood correlate with the extent of coronary artery disease'; Methods: patients selected by Duke CAD index; patient groups: CAD vs controls. | justification: The study concerns coronary artery disease (CAD), not ALS-FTD.","No | evidence: Description: 'Gene expression profile in circulating leukocytes' and 'Peripheral leukocyte gene expression pattern'; Organism part: not CNS (blood). | justification: Samples are peripheral blood/leukocytes, not brain or other CNS tissue.",No | evidence: Description indicates RNA extracted from patients undergoing coronary angiography (110 patients with CAD and 112 controls); no mention of cell lines or experimental disease models. | justification: Data derive from patient blood samples rather than patient-derived in vitro cell lines or model systems.,"Yes | evidence: Methods: 'RNA was extracted from 110 patients with CAD (CADi>23) and from 112 partially matched controls without CAD (CADi=0)'; Experimental design: parallel group design; Experimental Factors include PATIENT GROUP. | justification: Study compares cases (CAD) to controls (no CAD), fulfilling a case/control design.",Yes | evidence: Samples are circulating leukocytes/peripheral blood rather than any brain region; Organism part: Not found but description clearly indicates blood. | justification: The sampled tissue (blood) is not a CNS region and is irrelevant to ALS-FTD neurodegeneration.,No | evidence: Study type: transcription profiling by array; 'Affymetrix U133A chips'; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The technology is microarray expression profiling (compatible); not RNA-seq or proteomics.,"justification: Although this is a human microarray case/control study, it targets coronary artery disease and uses peripheral blood (leukocytes), not CNS tissue relevant to ALS-FTD. Therefore it fails the disease and tissue inclusion criteria and should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; cRNA synthesis, human U133 plus 2.0 GeneChip hybridization; Assay by Molecule: RNA assay. | justification: Human RNA from tissue was profiled using Affymetrix U133 Plus 2.0 microarrays, satisfying human microarray expression profiling criterion.","No | evidence: Title: 'EGR4 is a master gene responsible for fertility in cryptorchidism'; Description: RNA isolated from testicular biopsies of cryptorchid boys; Disease field: Not related to ALS/FTD. | justification: The study concerns cryptorchidism (testicular fertility), not amyotrophic lateral sclerosis or frontotemporal dementia.","No | evidence: Samples: Organism part: total testicular; Description: testicular biopsies of cryptorchid boys. | justification: Tissue sampled is testis, not brain or other CNS tissue.",No | evidence: Description: Whole testicular tissue biopsies collected and processed for RNA isolation; no mention of cell lines or animal/disease models. | justification: Samples are primary human tissue biopsies rather than patient-derived in vitro cell lines or experimental disease models.,"Yes | evidence: Description: 'Whole testicular tissue was gained from cryptorchid boys aged 10 Months to 4.5 years as well as from controls of identical age.' | justification: The study includes affected individuals (cryptorchid boys) and age-matched controls, indicating a case/control design.",Yes | evidence: Organism part: total testicular; all sample descriptions refer to testicular tissue. | justification: Tissue is non-neural (testis) and thus not a brain region affected by ALS-FTD neurodegeneration.,"No | evidence: Study type: transcription profiling by array; Technology: Array assay; Affymetrix U133 Plus 2.0 GeneChip hybridization. | justification: The technology is microarray-based expression profiling, which is compatible with inclusion (not RNA-seq or proteomics).","justification: Although the dataset uses human microarray expression profiling and has a case/control design, it is not relevant to ALS-FTD: the disease studied is cryptorchidism and the tissue is testis (non-CNS). Thus it fails the disease- and tissue-related inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The experiment used microarray-based whole-genome transcription profiling on human-derived material (array RNA assay).,"Yes | evidence: Title: Profiling wt SOD versus ALS SOD1(G93A) mutant; Description references SOD1(G93A) protein (an established ALS-causing mutation). | justification: The study compares wild-type SOD1 to the ALS-associated SOD1(G93A) mutant, so it pertains to ALS (part of the ALS-FTD disease spectrum).","No | evidence: Samples: Cell type/line: Cell line: neuroblastoma SH-SY5Y; Organism part: Not found. | justification: Samples are an in vitro neuroblastoma cell line (SH-SY5Y), not human brain/CNS tissue.","Yes | evidence: Description: Whole-genome profiling of SH-SY5Y cells stably transfected with cDNAs coding for SOD1WT or SOD1(G93A); Samples indicate Cell line: neuroblastoma SH-SY5Y. | justification: This is an in vitro disease model using a transfected human neuroblastoma cell line (non-clinical, not patient tissue), which matches exclusion criterion for patient-derived in vitro models or disease models.","Yes | evidence: Description: Five wt SOD versus five mutant SOD. | justification: The study compares two groups (WT SOD1 versus mutant SOD1) with five samples per group, which is a case/control-style comparison.","Yes | evidence: Organism part: Not found; Samples are SH-SY5Y cell line rather than sampled brain regions. | justification: No brain/CNS regions were sampled; the use of a neuroblastoma cell line means no ALS-relevant brain regions are assayed, so it does not sample affected CNS regions.",No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The platform is microarray (compatible); the dataset does not use RNA-seq or proteomics.,"justification: Although the dataset uses human microarray profiling and addresses an ALS-linked SOD1 mutation, it is an in vitro disease model using the SH-SY5Y neuroblastoma cell line rather than human CNS tissue. This violates exclusion criterion 4 (disease models/patient-derived in vitro cell lines) and criterion 3 (must involve CNS tissue relevant to ALS-FTD). Therefore it should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Description: 16S rRNA genes were PCR amplified and DNA-DNA hybridization was performed using a microarray for over 300 bacterial species or groups. Study focuses on bacterial species in gingival crevicular fluid (periodontitis). Assay info: Technology: Array assay; Assay by Molecule: RNA assay. | justification: Although an array platform was used, the assay profiles bacterial 16S sequences to identify microbial species, not human gene expression profiling (not human transcriptome microarray).","No | evidence: Sample attributes: Disease: periodontitis. Title/Description repeatedly describe periodontitis and analysis of gingival crevicular fluid from periodontitis patients. | justification: The study investigates periodontal disease microbiota, not amyotrophic lateral sclerosis or frontotemporal dementia.","No | evidence: Description: Analysis of gingival crevicular fluid (GCF) samples and subgingival plaque (PP) samples from periodontal sites. Organism: Homo sapiens, but Organism part not CNS; samples are oral (GCF/PP). | justification: Samples derive from oral/periodontal sites (GCF and subgingival plaque), not human brain or CNS tissue.","No | evidence: Description and samples: data are from 17 subjects with periodontal disease; no mention of cell lines or in vitro disease models. | justification: This is clinical sampling of patient oral sites, not patient-derived cell lines or experimental disease models.",No | evidence: Description: comparison between GCF and subgingival paper point (PP) samples from the same sites in 17 periodontitis patients. Experimental Designs: Not found. Samples: 34 (paired sample types per patient). | justification: Study compares sample types within periodontitis patients (GCF vs PP); it is not a human disease case vs healthy control study relevant to ALS-FTD.,"Yes | evidence: Samples are gingival crevicular fluid and subgingival plaque (oral microbiota), not brain tissue. | justification: The dataset does not involve any brain regions; tissues sampled are irrelevant to ALS-FTD neurodegeneration.","No | evidence: Assays and Data: Technology: Array assay; Description: DNA-DNA hybridization microarray for bacterial species detection. | justification: The technology is a microarray platform (compatible in general with array-based studies), not an excluded technology such as RNA-seq or proteomics. However, it is a microbial species-detection array rather than human transcriptome microarray.","justification: Exclude. The study profiles bacterial 16S sequences from gingival crevicular fluid in periodontitis patients using a microbial microarray. It is not human gene expression profiling of CNS tissue, does not concern ALS-FTD, and does not have a relevant case/control ALS-FTD design or brain-region sampling. Therefore it fails inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Technology: Array assay; Organism: Homo sapiens, Mus musculus; Title/Description: human colon cancer cells (Caco2, T84) and mouse myofibroblasts analyzed on Affymetrix microarrays. | justification: Although microarrays were used and human cancer cell lines were profiled, the human material consists of cell lines from xenografts rather than human clinical tissue; the study is not a human patient-based CNS microarray profiling experiment.","No | evidence: Title/Description: study describes human colon cancer cells (Caco2, T84) interacting with mouse intestinal subepithelial myofibroblasts; Disease fields: Not found. | justification: The study focuses on colon cancer and intestinal myofibroblasts, not amyotrophic lateral sclerosis or frontotemporal dementia.","No | evidence: Description and samples: ileum or colon myofibroblasts and human colon cancer cells (Caco2, T84); Organism part: not CNS. | justification: Samples derive from intestinal tissues and cultured cells, not human brain or CNS regions.","Yes | evidence: Samples: Cell line: T84, Caco2; Description: cultured fibroblasts, human cancer cells grown in NOD/SCID mice xenografts; experimental factors list CELL LINE. | justification: The dataset uses established human cancer cell lines and mouse xenograft models and cultured cells, i.e., non-clinical in vitro/in vivo disease models.","No | evidence: Experimental Designs: Not found; Experimental Factors: CELL LINE, ORGANISM, CELL TYPE; Sample count 12 with no case/control labels. | justification: No evidence of a case versus control study design; the experiment compares cell types/organisms and xenograft conditions rather than clinical cases and controls.","Yes | evidence: Description and title indicate ileum/colon (intestinal) tissues and cancer cells; no CNS/brain regions sampled. | justification: The sampled tissues (ileum, colon, intestinal myofibroblasts) are not CNS regions and are irrelevant to ALS-FTD neurodegeneration.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Affymetrix microarrays mentioned. | justification: The technology is microarray-based expression profiling, which is compatible with the inclusion requirement for microarray data.","justification: Exclude. Although the study uses microarrays, it is not about ALS-FTD nor human CNS tissue. It profiles intestinal tissues and human cancer cell lines in xenografts (non-clinical models) and lacks a case/control clinical design. These factors violate multiple inclusion/exclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Study uses NanoString nCounter miRNA expression assay (description) and lists Technology: Array assay / Assay by Molecule: RNA assay. Title: NanoString miRNA profiling... | justification: The assay is NanoString miRNA profiling (targeted digital hybridization), not a conventional genome-wide human mRNA microarray expression profiling experiment.","Yes | evidence: Sample annotations list Disease: Sporadic amyotrophic lateral sclerosis (SALS) (and multiple sclerosis, healthy control). | justification: The dataset includes samples from human patients with sporadic ALS, so it pertains to ALS (part of the ALS-FTD disease spectrum target).","No | evidence: Cell type: CD14+CD16- monocytes; description: RNA isolated from FACS sorted CD14+CD16- blood-derived monocytes from ALS, MS and HC subjects. | justification: Samples are peripheral blood–derived monocytes (immune cells), not human brain or CNS tissue.","No | evidence: Samples are patient-derived peripheral blood CD14+CD16- monocytes from ALS, MS and control subjects. | justification: The data are from primary patient blood cells (ex vivo sorted monocytes), not from established in vitro cell lines or experimental disease models; although the paper references SOD1 mouse experiments, the deposited human samples are primary monocytes.","Yes | evidence: Experimental Factors / Disease state: multiple sclerosis, Sporadic amyotrophic lateral sclerosis (SALS), healthy control; sample counts show n=8 per group (24 samples). | justification: The study includes disease groups (ALS, MS) and healthy controls, constituting a case/control design.","No | evidence: Organism part / Cell type indicate blood-derived monocytes; no brain regions or CNS tissue sampled. | justification: No brain regions were sampled at all, so the exclusion for sampling brain regions not affected by ALS-FTD is not applicable.",Yes | evidence: Description and title specify NanoString nCounter miRNA expression assay (miRNA profiling). | justification: NanoString miRNA profiling is a targeted digital hybridization assay for miRNAs (not conventional mRNA microarrays); it is not compatible with the microarray mRNA expression profiling datasets targeted by the inclusion criteria.,"justification: Exclude. Although the dataset includes human ALS patients and a case/control design, it does not meet core inclusion criteria: samples are peripheral blood–derived monocytes (not human CNS tissue from regions relevant to ALS-FTD), and the assay is NanoString miRNA profiling (targeted miRNA digital counts), which is not conventional human mRNA microarray expression profiling. These factors violate inclusion criteria 1 and 3 (and technology compatibility).",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Description: analysed using human microRNA Microarray Kit Agilent; Organism: Homo sapiens; Assay: Array assay, RNA assay. | justification: Human samples profiled by microarray (microRNA microarray) — meets human microarray expression profiling criterion.","No | evidence: Title: MiRNA expression profiling in human medullary thyroid carcinoma; Description: investigate the microRNA profile in human medullary carcinoma tissue; Matched tumor and adjacent normal tissue from thyroid patients. | justification: Study concerns medullary thyroid carcinoma, not amyotrophic lateral sclerosis or frontotemporal dementia (ALS-FTD).","No | evidence: Experimental Factors > Source Characteristics: Organism part: thyroid; Description: matched tumor and adjacent normal frozen tissues were obtained from thyroid of 40 patients. | justification: Samples are from thyroid tissue, not brain/CNS regions.","No | evidence: Description: Matched tumor and adjacent normal tissue were obtained from 24 patients and analysed; validation set used tumor samples — all primary tissue. | justification: Data derive from patient tissue specimens (tumor and adjacent normal), not patient-derived in vitro cell lines or disease models.",Yes | evidence: Description: Matched tumor and adjacent normal tissue were obtained from patients; Normal tissue (suffix S) and lesional tissue (suffix L) were hybridized on microarray. | justification: Paired tumor vs adjacent normal design constitutes a case/control comparison.,Yes | evidence: Organism part: thyroid; tissue type listed as thyroid in description and source characteristics. | justification: Thyroid is not a CNS region and is not affected by ALS-FTD neurodegeneration.,No | evidence: Study type: transcription profiling by array; Assay Technology: Array assay; Description: human microRNA Microarray Kit Agilent. | justification: Microarray-based expression profiling is compatible with inclusion (not RNA-seq or proteomics).,"justification: Although the dataset uses human microarray expression profiling and has a case/control design, it studies medullary thyroid carcinoma using thyroid tissue rather than ALS-FTD or CNS tissue. Therefore it fails the disease- and tissue-specific inclusion criteria and should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens | justification: The study uses human samples and transcription profiling by array (microarray) measuring RNA, meeting the human microarray expression profiling requirement.",No | evidence: Title: 'Gene expression analysis of ALS skeletal muscle'; Experimental Factors lists DISEASE STATUS but Disease: Not found; Description focuses on ALS-related muscle atrophy | justification: The dataset is ALS-specific (skeletal muscle) but does not pertain to frontotemporal dementia (FTD) or explicitly the combined ALS-FTD spectrum. It therefore does not meet the ALS-FTD requirement.,"No | evidence: Organism part: deltoid, quadriceps (skeletal muscle); Description: gene expression profiling ... performed on muscle biopsies | justification: Samples are from peripheral skeletal muscle (deltoid, quadriceps), not from human brain/CNS tissue.",No | evidence: Description: profiling ... performed on muscle biopsies; Cell type/line: Not found | justification: The study uses patient tissue biopsies rather than patient-derived in vitro cell lines or experimental disease models.,"Unclear | evidence: Experimental Factors: DISEASE STATUS is listed, but Experimental Designs: Not found; Disease state/staging: Not found | justification: A DISEASE STATUS factor suggests groups may exist, but no explicit case vs control grouping or description of control samples is provided in the metadata.","Yes | evidence: Organism part: deltoid, quadriceps (skeletal muscle) | justification: The samples are peripheral skeletal muscle, not brain regions; thus the dataset does not sample CNS regions relevant to ALS-FTD neurodegeneration.",No | evidence: Technology: Array assay; Study type: transcription profiling by array | justification: The assay is microarray-based (compatible); no RNA-seq or proteomics technologies are reported.,"justification: Although this is a human microarray study related to ALS, it uses skeletal muscle biopsies (deltoid/quadriceps) rather than human CNS tissue, does not explicitly address FTD or the ALS-FTD spectrum, and lacks clear case/control documentation. Therefore it fails the key inclusion criteria (CNS tissue relevant to ALS-FTD and clear case/control design) and should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens; Assay by Molecule: RNA assay. | justification: Human samples were profiled using microarray transcription profiling (array-based RNA assay).,"No | evidence: Title and Description describe dendritic cells and monocytes stimulated by vaccines and LPS; no mention of ALS, FTD, or related neurodegenerative disease. | justification: The study focuses on vaccine-induced transcriptional responses in immune cells, not ALS-FTD.","No | evidence: Description: monocyte-derived DCs (moDCs) and monocytes stimulated in vitro; Experimental Factors shows cell population and donor id; Organism part: Not found. | justification: Samples are peripheral immune cells (monocytes/moDCs), not human brain or CNS tissue.","Yes | evidence: Description indicates monocyte-derived DCs (moDCs) generated and stimulated in vitro; experimental factors include cell population and donor id. | justification: This is an in vitro stimulation experiment using donor-derived immune cells (moDCs/monocytes), i.e., patient/donor-derived in vitro cell models.","No | evidence: Experimental Designs: Not found; Disease state/staging: Not found; samples are stimulus vs media controls rather than clinical case vs control groups. | justification: The study is an in vitro stimulation timecourse/experimental comparison, not a clinical case/control study of patients and healthy controls.",No | evidence: No brain/CNS regions sampled (Organism part: Not found); samples are monocytes and moDCs. | justification: Criterion about irrelevant brain regions is not applicable because no brain tissue was profiled.,No | evidence: Technology: Array assay; Study type: transcription profiling by array; Assay by Molecule: RNA assay. | justification: The assay is microarray-based and thus compatible; the study does not use RNA-seq or proteomics.,"justification: Exclude. Although the dataset is human microarray expression profiling, it does not meet key inclusion criteria: it is not about ALS-FTD, does not involve human CNS/brain tissue, and is an in vitro donor-derived immune cell stimulation experiment rather than a clinical case/control study. These exclusions (non-CNS in vitro model, non-disease focus, non-case/control design) rule it out.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens | justification: The study is human and uses microarray transcription profiling (array-based RNA assay).,"No | evidence: Title: Transcription profiling of human B cells at four cconsecutive stages of B cell development; Description: Cells ... purified by FACS from human bone marrow samples; Samples: Disease: Not found | justification: The dataset concerns normal B cell development from bone marrow and contains no indication of ALS, FTD, or related neurodegenerative disease.","No | evidence: Description: Cells were purified from human bone marrow samples; Title refers to B cells; Organism part: bone marrow (implied in description) | justification: Samples are peripheral/hematopoietic (bone marrow B cells), not brain or other CNS tissue.",No | evidence: Description: Cells from four developmental stages were purified by FACS from human bone marrow samples; Title indicates primary B cell populations | justification: The study uses primary sorted B cells from human bone marrow rather than patient-derived immortalized cell lines or disease model systems.,"No | evidence: Experimental Designs: unknown_experiment_design_type, transcription profiling by array; Experimental Factors: Not found; Samples: Disease state/staging: Not found | justification: No case/control clinical design is indicated; the experiment profiles developmental stages of B cells rather than cases vs controls.","Yes | evidence: Description: human bone marrow samples; Title: B cell development | justification: The study does not sample brain regions at all, so it does not involve CNS regions relevant to ALS-FTD.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: The technology is array-based microarray expression profiling, which is compatible with inclusion (not RNA-seq or proteomics).","justification: Although the dataset is human and uses microarray expression profiling, it does not meet key inclusion criteria: it is not about ALS-FTD, does not use CNS tissue (samples are bone marrow B cells), and lacks a case/control clinical design. Therefore it should be excluded.",No,No,False,,,,,,,,,
