custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Affymetrix U133A chips | justification: Uses human RNA from patient samples profiled by microarray,"No | evidence: Title and description address coronary artery disease (CAD), not ALS-FTD | justification: Disease focus is CAD, unrelated to amyotrophic lateral sclerosis or frontotemporal dementia",No | evidence: Samples are circulating leukocytes (peripheral blood) | justification: No CNS or brain tissue was profiled,"No | evidence: Samples are ex vivo peripheral blood from patients, not cell lines or models | justification: No in vitro cell lines or experimental disease models used",Yes | evidence: 110 CAD patients vs 112 matched controls; parallel group design | justification: Study compares patient group to control group,"No | evidence: No brain regions sampled | justification: Tissue source is blood, not any brain region",No | evidence: Array assay; RNA microarray | justification: Technology is compatible microarray profiling,"justification: Dataset does not meet disease (ALS-FTD) or CNS tissue criteria, and thus is excluded",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"Yes | evidence: Affymetrix Human U133 Plus 2.0 GeneChip hybridization, transcription profiling by array | justification: Human RNA expression profiled on microarray",No | evidence: Study of cryptorchidism and fertility in testicular biopsies of boys | justification: Not related to ALS-FTD,"No | evidence: Organism part: total testicular tissue | justification: Samples derived from testis, not CNS","No | evidence: Biopsies from patients, not in vitro cell lines or disease models | justification: In vivo clinical sample source",Yes | evidence: Samples from cryptorchid boys and age-matched controls | justification: Comparative design between affected and control subjects,"Yes | evidence: Tissue is testicular, not a brain region | justification: Non-CNS tissue irrelevant to ALS-FTD pathology",No | evidence: Microarray RNA assay by Affymetrix GeneChip | justification: Compatible microarray technology,justification: Excluded because disease focus (cryptorchidism) and tissue type (testis) do not meet ALS-FTD or CNS criteria.,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: The dataset uses whole‐genome microarray expression profiling of human-derived material,Yes | evidence: Title: Profiling wt SOD versus ALS SOD1(G93A) mutant | justification: SOD1 G93A is a known ALS-linked mutation,No | evidence: Samples: neuroblastoma SH-SY5Y cell line | justification: No human brain/CNS tissue—only an in vitro cell line,Yes | evidence: Samples: neuroblastoma SH-SY5Y cell line stably transfected | justification: Study uses patient-derived (or model) in vitro cell lines rather than clinical tissue,Yes | evidence: Five wt SOD versus five mutant SOD samples | justification: Experimental design compares a ‘control’ (WT) group and a ‘case’ (mutant) group,"No | evidence: Samples: cell line, not brain tissue | justification: No brain regions sampled",No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: The dataset uses compatible microarray technology,"justification: Although the study uses human microarray profiling and an ALS-linked mutation, it is a non-clinical in vitro cell line model and lacks patient CNS tissue, so it fails inclusion criteria",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: DNA-DNA hybridization microarray for bacterial 16S rRNA genes | justification: The array profiles microbial species in gingival fluid, not human gene expression","No | evidence: Disease state: periodontitis | justification: The study focuses on periodontal disease, not ALS-FTD","No | evidence: Samples are from gingival crevicular fluid, not CNS | justification: Tissue is oral fluid, not brain/CNS",No | evidence: Samples obtained directly from periodontitis patients | justification: No in vitro cell lines or disease models used,No | evidence: Only periodontitis patient samples; no healthy controls | justification: No case vs. control group design,Yes | evidence: Sample source: gingival crevicular fluid | justification: Sampling site is non-neural and irrelevant to ALS-FTD pathology,No | evidence: Transcription profiling by microarray | justification: Microarray is compatible; RNA-seq or proteomics would be excluded,"justification: The dataset profiles bacterial species in oral fluid from periodontitis patients, not human CNS gene expression or ALS-FTD, and lacks case/control and relevant brain tissue.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Affymetrix microarrays used on sorted human colon cancer cells and mouse fibroblasts | justification: Dataset uses microarray expression profiling on human-derived samples,"No | evidence: Disease: human colon cancer xenograft model; no mention of ALS or FTD | justification: Target disease is colon cancer, not ALS-FTD",No | evidence: Samples from mouse ileum/colon and human colon cancer cells; no CNS or brain tissue | justification: No human brain/CNS samples,"Yes | evidence: Involves cultured mouse subepithelial myofibroblasts and human cancer cell lines in a mouse xenograft model | justification: Uses in vitro cell lines and animal model, not patient clinical samples","No | evidence: No case/control groups reported; experimental factors are cell line and organism | justification: Study is descriptive profiling of cell lines, not a case/control comparison","Yes | evidence: Sampling sites are ileum and colon, gastrointestinal tissues unaffected in ALS-FTD | justification: Brain regions not studied; tissues irrelevant to ALS-FTD pathology",No | evidence: Platform: array assay (Affymetrix microarrays); assay by molecule: RNA | justification: Microarray technology is compatible,"justification: Excluded because it is a non-clinical xenograft model on non-CNS tissue for colon cancer, not ALS-FTD",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: Technology: NanoString nCounter miRNA expression assay (not a microarray platform) | justification: NanoString nCounter is a digital hybridization assay, not a microarray-based expression profiling",Yes | evidence: Samples include sporadic ALS (SALS) subjects | justification: Dataset includes miRNA profiles from ALS patient monocytes,"No | evidence: Source Characteristics: Cell type = CD14+CD16- blood-derived monocytes | justification: Samples derive from peripheral blood, not CNS or brain tissue",No | evidence: Cell type: primary CD14+CD16- monocytes from human blood | justification: No in vitro cell lines or patient-derived disease models are profiled,"Yes | evidence: Group comparisons: ALS vs. MS vs. healthy control | justification: Study contrasts diseased (ALS, MS) and healthy control human samples",Yes | evidence: Organism part: peripheral blood monocytes | justification: Peripheral blood is outside the CNS and not a brain region affected in ALS-FTD,Yes | evidence: Technology: NanoString nCounter miRNA assay | justification: NanoString profiling is not a microarray platform,"justification: Dataset uses NanoString miRNA profiling on peripheral blood monocytes, not human CNS tissue, and lacks microarray technology. It therefore fails the tissue and technology inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; human microRNA Microarray Kit Agilent | justification: The dataset uses Agilent microarray to profile human miRNA expression,"No | evidence: Title: MiRNA expression profiling in human medullary thyroid carcinoma; Description: analysis of carcinoma tissue | justification: The study focuses on thyroid carcinoma, not ALS-FTD","No | evidence: Organism part: thyroid | justification: Samples are from thyroid tissue, not CNS","No | evidence: Description: matched tumor and adjacent normal tissue from patients | justification: Tissues are directly obtained from patients, not in vitro cell lines or models",Yes | evidence: Matched tumor and adjacent normal tissue were obtained from 24 patients | justification: Design compares tumor ('case') versus adjacent normal ('control') samples,Yes | evidence: Organism part: thyroid | justification: Thyroid is not a CNS region affected by ALS-FTD,No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: Microarray is the compatible technology,"justification: Although the dataset uses human microarray profiling in a case/control design, it studies thyroid carcinoma tissue rather than ALS-FTD and does not involve CNS regions. It does not meet the target disease or tissue criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens | justification: Human samples profiled using microarray technology,"No | evidence: Title: Gene expression analysis of ALS skeletal muscle; no mention of FTD | justification: Focus is on ALS muscle atrophy, not ALS-FTD spectrum","No | evidence: Organism part: deltoid, quadriceps (skeletal muscle) | justification: Samples are muscle biopsies, not CNS tissue",No | evidence: Samples obtained from patient muscle biopsies | justification: No in vitro cell lines or disease models used,No | evidence: No explicit healthy control group or control samples described | justification: Study design does not specify a case/control comparison,"Yes | evidence: Organism part: deltoid, quadriceps (skeletal muscle) | justification: Tissue sampled is muscle, not brain regions affected by ALS-FTD",No | evidence: Technology: Array assay | justification: Microarray profiling is compatible with inclusion criteria,"justification: Although this is human microarray data, it focuses on ALS muscle rather than ALS-FTD CNS tissue and lacks a case/control design; thus it fails multiple inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens | justification: The dataset uses microarray-based transcription profiling on human cells.,"No | evidence: Title and description focus on dendritic cells stimulated by vaccines; no mention of ALS, FTD, or related neurodegenerative disease. | justification: The study is immunology/vaccine-related, not ALS-FTD.",No | evidence: Samples are monocyte-derived dendritic cells in vitro; no CNS tissue sources mentioned. | justification: No brain or CNS tissues are sampled.,"Yes | evidence: Description: human monocyte-derived DCs in vitro in response to vaccines. | justification: The dataset involves in vitro differentiated immune cells, not patient-derived tissues.","No | evidence: Design compares vaccine-stimulated cells to media controls, not diseased vs healthy subjects. | justification: Not a clinical case/control study.",No | evidence: No brain regions are sampled. | justification: Not applicable as no CNS tissues are involved.,No | evidence: Technology: Array assay (microarray). | justification: Microarray is a compatible technology.,"justification: Fails disease relevance, tissue origin, and study design criteria: not ALS-FTD, not CNS tissue, in vitro immune cells, no case/control of patients.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: The experiment uses microarray-based transcription profiling of human RNA.,"No | evidence: Title and description: human B cell development; Disease: Not found | justification: No mention of ALS, FTD, or related pathology.","No | evidence: Source: human bone marrow B cells; Organism part: not CNS | justification: Samples are peripheral immune cells, not CNS tissue.","No | evidence: Cells purified by FACS from human bone marrow | justification: These are primary ex vivo cells, not in vitro cell lines or disease models.","No | evidence: Design: four developmental stages of B cells (PB1, PB2, LAR, SMA) | justification: No case versus control comparison is described.","Yes | evidence: Samples are bone marrow B cells, not brain tissue | justification: Tissue is outside the CNS and irrelevant to ALS-FTD neurodegeneration.",No | evidence: Technology: Array assay; transcription profiling by array | justification: Microarray is compatible with inclusion criteria.,"justification: Although the dataset uses human microarrays, it does not involve ALS-FTD, CNS tissue, or a case/control design—thus it fails key inclusion criteria.",No,No,False,,,,,,,,,
