custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Affymetrix U133A; Organism: Homo sapiens | justification: The study uses Affymetrix microarrays to profile human RNA expression.,"No | evidence: Title and description focus on coronary artery disease, with no mention of ALS or FTD | justification: The dataset addresses CAD, not ALS-FTD.","No | evidence: Samples are circulating leukocytes (peripheral blood), no CNS tissues reported | justification: Only peripheral blood samples were profiled.","No | evidence: Samples derived directly from patients’ blood; no cell lines or in vitro models | justification: Study uses in vivo patient samples, not disease models or lines.",Yes | evidence: 110 CAD patients (CADi>23) vs 112 matched controls (CADi=0); parallel group design | justification: Distinct case and control cohorts are compared.,"Yes | evidence: Tissue source is peripheral blood rather than any CNS region | justification: No brain regions, relevant or not, are sampled.",No | evidence: Platform is microarray (Affymetrix U133A) | justification: Microarray is a compatible expression profiling technology.,justification: Fails both target disease (ALS-FTD) and CNS tissue criteria—focuses on CAD in blood.,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Affymetrix Human U133 Plus 2.0 GeneChip | justification: Dataset uses human microarray expression profiling,No | evidence: Disease context: cryptorchidism in boys | justification: Does not pertain to ALS-FTD,"No | evidence: Organism part: total testicular tissue | justification: Samples are from testis, not CNS","No | evidence: Samples: testicular biopsies from patients; not cell lines or animal models | justification: Study uses primary human tissue, not in vitro models",Yes | evidence: Comparison between cryptorchid boys and age-matched controls | justification: Design includes diseased versus control groups,"Yes | evidence: Tissue: testicular, not any brain region | justification: Sampled organ is not a CNS region affected by ALS-FTD",No | evidence: Technology: array assay; RNA assay | justification: Microarray profiling is compatible,justification: Excluded because it does not study ALS-FTD and uses non-CNS tissue,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Whole-genome expression profiling was performed using a microarray on human samples (SH-SY5Y cells).,"Yes | evidence: Title: Profiling wt SOD versus ALS SOD1(G93A) mutant | justification: The study models the ALS-linked SOD1(G93A) mutation, which is directly relevant to ALS pathology. ","No | evidence: Cell type/line: neuroblastoma SH-SY5Y | justification: Samples are from an immortalized cell line, not human brain or CNS tissue. ",Yes | evidence: Cell type/line: neuroblastoma SH-SY5Y | justification: The dataset uses an in vitro neuroblastoma cell line model rather than patient‐derived tissue. ,"No | evidence: Five wt SOD versus five mutant SOD1(G93A) samples | justification: Although it compares two groups, this is an experimental transfection model, not a clinical case/control study. ",No | evidence: Organism part: Not found; Cell line: SH-SY5Y | justification: No human brain regions are sampled at all. ,"No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: The platform is a standard microarray for RNA expression, which is compatible. ","justification: Though it uses human cells and ALS-related SOD1 mutation, it is an in vitro cell‐line model rather than clinical CNS tissue and lacks a case/control study design in patients. It does not meet criteria for inclusion. ",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,No | evidence: Title: Specified Bacterial Species in Gingival Crevicular Fluid…; Description: DNA-DNA hybridization microarray for 16S rRNA of bacterial species | justification: The study uses a microbial identification microarray (16S rRNA) not human gene expression profiling,"No | evidence: Samples annotated with Disease: periodontitis | justification: The dataset focuses on periodontal disease, not ALS-FTD","No | evidence: Source: Gingival crevicular fluid; Organism part not brain/CNS | justification: Samples are from oral fluid, not human CNS tissue","No | evidence: Sample type: clinical gingival crevicular fluid from periodontitis patients | justification: Uses directly obtained patient fluid, not in vitro cell lines or models",No | evidence: Description: Only periodontitis patients compared between GCF and plaque samples | justification: No healthy control group or case/control design reported,"Yes | evidence: Samples from gingival crevicular fluid and subgingival plaque | justification: Tissue is oral, not a brain region relevant to ALS-FTD","No | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Technology is microarray, which is compatible (though for bacteria)",justification: Fails multiple inclusion criteria: not human CNS expression profiling and not ALS-FTD related,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Affymetrix microarrays | justification: The study used Affymetrix microarrays to profile RNA expression.,"No | evidence: Samples are mouse intestinal fibroblasts and human colon cancer cells; no mention of ALS or FTD | justification: Disease context is colon cancer xenografts, not ALS-FTD.","No | evidence: Organism parts: ileum, colon; samples are subepithelial myofibroblasts/cancer cells | justification: No CNS or brain tissue was profiled.","Yes | evidence: Use of xenograft models and cultured cell lines (T84, Caco2, mouse fibroblasts) | justification: Dataset is based on in vitro cultures and mouse xenografts, not clinical patient tissue.","No | evidence: No experimental design indicating disease vs control groups | justification: Study compares cell types and interactions, not case/control subjects.","Yes | evidence: Sampling from ileum and colon, not brain regions | justification: Tissues are gastrointestinal, irrelevant to ALS-FTD neurodegeneration.",No | evidence: Assay by Molecule: RNA assay; Technology: Array assay | justification: Microarray technology is compatible with inclusion criteria.,"justification: Although the dataset uses microarray, it lacks ALS-FTD context, human CNS tissue, and case/control design and instead uses non-clinical xenograft models in gastrointestinal tissues.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: Technology: NanoString nCounter miRNA expression assay; Study type: transcription profiling by array but uses NanoString platform (digital counting), not microarray. | justification: NanoString nCounter is a digital barcoding assay, not a microarray expression profiling platform.",Yes | evidence: Source Characteristics: Disease: Sporadic amyotrophic lateral sclerosis (SALS) | justification: Dataset includes samples from human individuals diagnosed with sporadic ALS.,"No | evidence: Source Characteristics: Cell type: CD14+CD16- monocytes (peripheral blood) | justification: Samples are blood-derived monocytes, not CNS tissue.","No | evidence: Samples: CD14+CD16- monocytes isolated from patient blood; primary ex vivo cells. | justification: Dataset uses primary human blood cells directly, not in vitro cell lines or animal models.",Yes | evidence: Experimental Factors: Disease state: Sporadic ALS (n=8) vs healthy control (n=8) | justification: Study compares patient (ALS) vs control groups in a case-control design.,"No | evidence: No brain regions sampled; tissues are peripheral monocytes. | justification: The dataset does not involve brain regions, relevant or irrelevant.",Yes | evidence: Technology: NanoString nCounter miRNA expression assay | justification: NanoString nCounter is not a microarray platform and is incompatible with microarray expression profiling requirement.,"justification: Although the dataset includes human ALS cases in a case-control design, it profiles peripheral blood monocytes using NanoString miRNA assays rather than microarray-based profiling of CNS tissue, violating the requirements for microarray technology and relevant brain region sampling.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Data generated by human microarray (miRNA) expression profiling,"No | evidence: Title: MiRNA expression profiling in human medullary thyroid carcinoma; Organism part: thyroid | justification: Focus is on thyroid carcinoma, not ALS-FTD","No | evidence: Organism part: thyroid | justification: Samples derived from thyroid tissue, not CNS","No | evidence: Matched tumor and adjacent normal frozen tissues from patients | justification: Uses primary patient tissues, not in vitro cell lines or disease models",Yes | evidence: Matched tumor and adjacent normal tissue from 24 patients | justification: Study compares diseased versus adjacent normal tissues,Yes | evidence: Organism part: thyroid | justification: Tissue sampled is thyroid rather than any brain region implicated in ALS-FTD,No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: Microarray-based expression profiling is compatible,"justification: Although this is a human microarray study with a case/control design, it does not investigate ALS-FTD or CNS brain regions. Hence it fails disease and tissue criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: Dataset uses microarray-based gene expression profiling on human samples,Yes | evidence: Title: Gene expression analysis of ALS skeletal muscle | justification: Dataset focuses on amyotrophic lateral sclerosis (ALS) pathology,"No | evidence: Organism part: deltoid, quadriceps | justification: Samples are from skeletal muscle, not CNS or brain tissue","No | evidence: Description: muscle biopsies from patients | justification: Data are derived from patient tissue, not in vitro cell lines or disease models",Unclear | evidence: Experimental Factor: DISEASE STATUS | justification: Presence of disease status suggests grouping but control group details are not explicitly described,"Yes | evidence: Organism part: deltoid, quadriceps | justification: Skeletal muscle is not a brain region affected by ALS-FTD neurodegeneration",No | evidence: Study type: transcription profiling by array | justification: Microarray technology is compatible with inclusion criteria,"justification: Although the dataset uses human microarray profiling and involves ALS patients, it fails to include CNS tissue relevant to ALS-FTD (skeletal muscle only). Therefore it does not meet the tissue requirement.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Dataset uses human RNA microarrays for expression profiling,"No | evidence: Description focuses on vaccine‐stimulated dendritic cells and monocytes; no mention of ALS or FTD | justification: Study is about immune response to vaccines, not ALS‐FTD","No | evidence: Source material: in vitro–derived monocytes and dendritic cells; no CNS tissue | justification: Samples are immune cells, not brain or spinal cord tissue",Yes | evidence: Monocyte‐derived dendritic cells stimulated in vitro | justification: Data derive from cultured cells rather than patient tissue,"No | evidence: Experimental factors describe stimulation conditions and donors, not patient vs control groups | justification: Design compares vaccines and ligands in cells, not case/control clinical cohorts",No | evidence: No brain regions sampled | justification: Study does not involve any CNS regions,No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: Microarray technology is compatible,"justification: Fails disease and tissue criteria: non‐ALS/FTD, in vitro immune cells, no CNS tissue, not case/control design",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: Uses human microarray-based transcription profiling.,No | evidence: Description: B cell developmental stages; Disease: Not found | justification: No mention of ALS or FTD; focuses on B cell development.,No | evidence: Samples: human B cells from bone marrow | justification: Does not involve brain or CNS tissue.,No | evidence: Samples are primary human B cells sorted from bone marrow | justification: Not patient-derived in vitro cell lines or disease models.,No | evidence: Experimental design: profiling across four B cell developmental stages | justification: No case vs. control comparison.,"Yes | evidence: Samples from bone marrow B cells, not CNS regions | justification: Involves non-neural tissue irrelevant to ALS-FTD neurodegeneration.",No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: Microarray technology is compatible.,"justification: Although it uses human microarray profiling, the dataset does not pertain to ALS-FTD, involves non-CNS tissue, and lacks a case/control design, so it fails multiple inclusion criteria.",No,No,False,,,,,,,,,
