custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Affymetrix U133A chips; Organism: Homo sapiens; Assay by Molecule: RNA assay. Description: RNA was extracted from 110 patients ... Gene expression was assessed using Affymetrix U133A chips. | justification: Dataset uses human samples and Affymetrix microarray (U133A) to profile RNA expression in circulating leukocytes.,"No | evidence: Title and description focus on coronary artery disease (CAD); references to CAD index (CADi), coronary angiography, and identifying patients with coronary artery disease. | justification: Study investigates coronary artery disease, not amyotrophic lateral sclerosis or frontotemporal dementia.","No | evidence: Description: 'Gene expression profile in circulating leukocytes' and 'peripheral leukocyte gene expression pattern'; Organism part not listed as brain/CNS. | justification: Samples are peripheral blood leukocytes, not human brain/CNS tissue.","No | evidence: Description: 'RNA was extracted from 110 patients with CAD ... and from 112 ... controls'; no mention of cell lines or in vitro disease models. | justification: Samples are patient-derived peripheral blood specimens, not patient-derived cell lines or experimental disease models.","Yes | evidence: Description: RNA extracted from 110 patients with CAD (CADi>23) and from 112 partially matched controls without CAD (CADi=0); study listed as 'parallel group design'. | justification: Study compares cases (CAD) versus matched controls, consistent with a case/control design.","Yes | evidence: Samples are circulating/peripheral leukocytes (blood), not brain regions. | justification: No CNS regions were sampled; the sampled tissue (blood) is not a brain region and therefore not relevant to ALS-FTD neurodegeneration.","No | evidence: Technology: Array assay; Affymetrix U133A microarrays used (microarray expression profiling). | justification: Platform is microarray, which is compatible with the inclusion criterion (not RNA-seq or proteomics).","justification: Although this is a human microarray study with a case/control design, it investigates coronary artery disease using peripheral blood leukocytes rather than ALS-FTD and does not include CNS tissue. Therefore it fails the disease (ALS-FTD) and tissue (CNS) inclusion criteria and should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; cRNA synthesis, human U133 plus 2.0 GeneChip hybridization; Technology: Array assay; Organism: Homo sapiens. | justification: Human tissue samples were profiled using Affymetrix Human U133 Plus 2.0 microarrays (RNA expression microarray).","No | evidence: Title: 'EGR4 is a master gene responsible for fertility in cryptorchidism'; Description: RNA was isolated from testicular biopsies of cryptorchid boys; Samples: Disease: Not found. | justification: Study concerns cryptorchidism and testicular tissue, with no mention of ALS or FTD.","No | evidence: Samples: Organism part: total testicular; Description: testicular biopsies of cryptorchid boys. | justification: Samples are testis tissue, not brain or other CNS regions.",No | evidence: Description: Whole testicular tissue was gained from cryptorchid boys ... Each biopsy sample was collected for RNA isolation and GeneChip hybridization. | justification: Data come from primary patient tissue biopsies rather than patient-derived in vitro cell lines or disease models.,"Yes | evidence: Description: samples from cryptorchid boys aged 10 months to 4.5 years as well as from controls of identical age. | justification: Study includes affected individuals and age-matched controls, indicating a case/control comparison.","Yes | evidence: Samples: Organism part: total testicular; Description: testicular biopsies. | justification: Tissue is testis, which is not a CNS region and is not relevant to ALS-FTD neurodegeneration.","No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Affymetrix Human U133 plus 2.0 GeneChip. | justification: Platform is microarray-based expression profiling, which is compatible with inclusion criteria.","justification: Although this is a human microarray case/control study, it is unrelated to ALS-FTD and uses testicular (non-CNS) tissue. Fails disease relevance and tissue-relevance inclusion criteria, so it should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: The experiment used whole-genome expression profiling on an array platform with human-derived material (SH-SY5Y cells), profiling RNA.","Yes | evidence: Title: ""Profiling wt SOD versus ALS SOD1(G93A) mutant""; Description: profiling cells transfected with SOD1WT or mutant SOD1(G93A). | justification: The study focuses on the ALS-associated SOD1(G93A) mutation, which pertains to ALS within the ALS-FTD disease spectrum.","No | evidence: Sample attribute: Cell line: neuroblastoma SH-SY5Y; Organism part / Organism part: Not found; no tissue/brain region specified. | justification: Samples are an in vitro neuroblastoma cell line, not human brain/CNS tissue.",Yes | evidence: Description: SH-SY5Y cells stably transfected with cDNAs coding for SOD1WT or SOD1(G93A); Sample attribute: Cell line: neuroblastoma SH-SY5Y. | justification: This is a patient-derived/in vitro disease model (stable transfected cell line) rather than primary patient tissue.,Yes | evidence: Description: Five wt SOD versus five mutant SOD. | justification: The study compares two groups (wild-type SOD1 vs mutant SOD1) in a controlled experimental design analogous to case/control.,"No | evidence: Samples are a cell line (SH-SY5Y); no brain regions were sampled. | justification: Because no brain/CNS regions were collected, the question of sampling irrelevant brain regions does not apply.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The dataset uses microarray-based RNA expression profiling, which is a compatible technology.","justification: Although the dataset uses human-derived material and microarray profiling and addresses an ALS-associated mutation (SOD1 G93A), it is an in vitro disease model using the SH-SY5Y neuroblastoma cell line rather than human CNS tissue. Per exclusion criterion 4 (patient-derived in vitro cell lines/disease models) and criterion 3 (requirement for CNS tissue), the dataset should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Study uses a DNA-DNA hybridization microarray targeting >300 bacterial species (16S rRNA genes) from gingival crevicular fluid; Assay by Molecule indicates bacterial 16S profiling rather than human transcriptome. | justification: The microarray is a species-detection/16S hybridization assay for bacteria, not human gene expression profiling on human microarrays.","No | evidence: Sample disease indicated as periodontitis; Title and Description focus on subgingival/gingival microbiota in periodontitis patients. | justification: The study addresses periodontal disease microbiology, not ALS or FTD.","No | evidence: Samples are gingival crevicular fluid (GCF) and subgingival plaque (paper point) from oral sites; Organism: Homo sapiens but Organism part is oral, not CNS. | justification: Tissue source is oral (GCF/PP), not brain or other CNS tissue.","No | evidence: Description describes clinical samples (GCF and PP) taken from 17 subjects with periodontal disease; no cell lines or in vitro disease models reported. | justification: Samples are patient-derived clinical specimens, not patient-derived cell lines or disease models.","No | evidence: Experimental Designs not found; study describes analysis of GCF/PP from 17 periodontitis subjects with 34 samples, with no control group reported. | justification: No case vs. healthy/control design is indicated in metadata or description.","Yes | evidence: Sample source is gingival crevicular fluid and subgingival plaque (oral), not any brain region. | justification: The dataset does not sample CNS regions; therefore it does not include brain regions relevant to ALS-FTD neurodegeneration.","No | evidence: Technology listed as 'Array assay' and description states DNA-DNA hybridization microarray; no RNA-seq or proteomics reported. | justification: The platform is a microarray (compatible technology in a general sense), but it is a bacterial 16S/species-detection array rather than human gene expression profiling.",justification: Exclude: the study is not human transcriptome microarray profiling of CNS tissue related to ALS-FTD. It profiles bacterial species in oral (gingival) samples from periodontitis patients and lacks a case/control brain-based ALS/FTD design.,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Description: human colon cancer cells isolated from xenografts were analyzed using Affymetrix microarrays; Organism: Homo sapiens listed in samples. | justification: The study used Affymetrix microarrays to profile RNA from human colon cancer cells (Homo sapiens) isolated from xenografts, so it includes human microarray expression profiling data.","No | evidence: Description and sample annotations refer to colon cancer cells, myofibroblasts, mouse ileum/colon; no mention of ALS, FTD, neurodegeneration, motor neuron disease, or related terms. | justification: The dataset concerns cancer and intestinal myofibroblasts, not ALS-FTD or related neurodegenerative conditions.","No | evidence: Organism part not found; Description specifies ileum or colon tissues and colon cancer cells; sample annotations list cell types as subepithelial myofibroblasts and cancer cells. | justification: Samples derive from intestinal tissues and cultured cells (ileum/colon, colon cancer), not from human brain or CNS tissue.","Yes | evidence: Description: isolated myofibroblasts were expanded in culture; human cancer cells (Caco2, T84) grown in NOD/SCID mouse xenografts and then isolated; Experimental Factors list CELL LINE and CELL TYPE. | justification: The study uses established cancer cell lines and mouse xenograft models and cultured cells, i.e., non-clinical in vitro/in vivo model systems rather than patient tissue.","No | evidence: Experimental Designs: Not found; Experimental Factors describe CELL LINE, ORGANISM, CELL TYPE; study compares cell types/conditions (ileal vs colonic SEMFs, interacting cancer cells) rather than patient case vs control groups. | justification: There is no case/control clinical study design comparing disease cases to healthy controls; the comparisons are between cell lines/tissues and experimental conditions.","No | evidence: Sample sources are ileum, colon, and cancer cell lines; no brain regions are sampled or mentioned. | justification: The dataset does not involve any brain regions, relevant or irrelevant to ALS-FTD.","No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Description explicitly states use of Affymetrix microarrays. | justification: The technology used is microarray expression profiling, which is compatible with the inclusion criteria (not RNA-seq or proteomics).","justification: Exclude. Although the dataset includes human microarray data, it fails multiple inclusion criteria: it is not about ALS-FTD, does not use human CNS tissue, and uses cell lines and xenograft models (non-clinical). It also lacks a case/control patient design. Therefore it is not appropriate for inclusion.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Study description states use of the NanoString nCounter miRNA expression assay on FACS-sorted human CD14+CD16- monocytes; Assays and Data: Technology: Array assay; Assay by Molecule: RNA assay. | justification: Although ArrayExpress labels the study as 'transcription profiling by array', the actual platform is NanoString nCounter miRNA profiling (digital hybridization), not a classical mRNA microarray platform required by the inclusion criteria.","Yes | evidence: Sample disease annotations and description list 'Sporadic amyotrophic lateral sclerosis (SALS)' among the groups; description discusses ALS patients and SOD1 ALS model. | justification: The dataset includes samples from human subjects with sporadic ALS, so it pertains to ALS (within the ALS-FTD disease umbrella).","No | evidence: Sample annotations: Cell type = CD14+CD16- monocytes; Organism part not listed as brain/CNS; description indicates blood-derived monocytes. | justification: Samples are peripheral blood monocytes (FACS sorted), not human brain or CNS tissue.","No | evidence: Samples are described as 'FACS sorted CD14+CD16- blood-derived monocytes from sporadic ALS (n=8), MS (n=8) and HC (n=8) subjects'. | justification: These are primary patient-derived peripheral blood cells collected ex vivo, not immortalized in vitro cell lines or experimental disease models (although the paper also references SOD1 mouse work separately).","Yes | evidence: Experimental Factors include DISEASE STATE with values multiple sclerosis, Sporadic amyotrophic lateral sclerosis (SALS), healthy control; groups include ALS and healthy controls. | justification: The study compares patient groups (ALS, MS) to healthy controls, consistent with a case/control design.","No | evidence: No brain regions are sampled; samples are peripheral blood monocytes. | justification: The question asks whether the dataset involves brain regions not significantly affected by ALS-FTD; here no brain regions are involved at all, so this specific exclusion criterion about irrelevant brain regions does not apply.","Yes | evidence: Description and methods state use of the NanoString nCounter miRNA expression assay (miRNA profiling). | justification: The inclusion criteria require human microarray expression profiling. NanoString nCounter miRNA profiling is a different technology (digital hybridization of miRNAs) and the dataset profiles miRNAs in blood monocytes rather than microarray-based mRNA expression, so it is incompatible with the required microarray mRNA datasets.","justification: Exclude. Although the dataset includes human ALS cases and has a case/control design, it fails key inclusion criteria: samples are peripheral blood monocytes (not human CNS tissue) and the platform is NanoString miRNA profiling (not microarray mRNA expression). Therefore it is not suitable for inclusion.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Title/description: microRNA Microarray Kit Agilent used on human tumor and adjacent normal thyroid tissue; Organism: Homo sapiens. | justification: The experiment used Agilent microRNA microarrays on human tissue samples (thyroid), consistent with human microarray expression profiling.","No | evidence: Title: 'MiRNA expression profiling in human medullary thyroid carcinoma'; Description: matched tumor and adjacent normal thyroid tissues from patients with medullary carcinoma. | justification: The study focuses on medullary thyroid carcinoma (a thyroid cancer), not amyotrophic lateral sclerosis or frontotemporal dementia.","No | evidence: Experimental Factors > Source Characteristics: Organism part: thyroid; Description: matched tumor and adjacent normal frozen tissues were obtained from thyroid of patients. | justification: Samples are from thyroid tissue, not brain or other CNS regions.","No | evidence: Description: matched tumor and adjacent normal frozen tissues were obtained from patients (clinical tissue samples); no cell lines or in vitro models described. | justification: The dataset uses primary patient tissue (tumor and adjacent normal), not patient-derived cell lines or experimental disease models.","Yes | evidence: Description: Matched tumor and adjacent normal tissue were obtained and hybridized; sample naming indicates normal (suffix S) and lesional/tumoral (suffix L). | justification: The study compares paired tumor (case) versus adjacent normal (control) samples, i.e., a case/control design for cancer vs normal tissue.","Yes | evidence: Organism part: thyroid; no brain/CNS regions reported in samples or experimental factors. | justification: Samples are from thyroid, which is not a CNS region and is not impacted by ALS-FTD neurodegeneration; therefore the tissue is irrelevant to ALS-FTD.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; microRNA Microarray Kit Agilent specified. | justification: The assay is microarray-based, which is compatible with the inclusion requirement for microarray expression profiling.","justification: Exclude. Although this is a human microarray (miRNA) study with a case/control design using primary human tissue, it does not pertain to ALS-FTD and does not involve CNS tissue. Fails the disease- and tissue-specific inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: The study uses array-based transcription profiling of human RNA (microarray).,"Yes | evidence: Title: ""Gene expression analysis of ALS skeletal muscle""; Description: objective focuses on ALS-related atrophy. | justification: The dataset explicitly studies amyotrophic lateral sclerosis (ALS), which is within the ALS-FTD disease spectrum.","No | evidence: Organism part: deltoid, quadriceps; Description: gene expression profiling and real time PCR performed on muscle biopsies. | justification: Samples are skeletal muscle (deltoid, quadriceps), not brain or other CNS tissue.",No | evidence: Samples described as muscle biopsies; no cell lines or disease models noted in sample attributes. | justification: The data derive from patient tissue biopsies rather than patient-derived in vitro cell lines or experimental disease models.,"Unclear | evidence: Experimental Factors list DISEASE STATUS, but Experimental Designs: Not found; sample-level disease labels are not provided. | justification: While 'DISEASE STATUS' is listed as a factor, the metadata do not specify group assignments (cases vs controls), so a case/control design cannot be confirmed.","Yes | evidence: Organism part: deltoid, quadriceps (skeletal muscle). | justification: The sampled tissues are peripheral muscles, not brain regions; they are not CNS regions affected by ALS-FTD neurodegeneration.",No | evidence: Technology: Array assay; Study type: transcription profiling by array. | justification: The platform is microarray-based (compatible); no RNA-seq or proteomics technologies are indicated.,"justification: Although this is a human microarray study of ALS, it uses skeletal muscle biopsies (deltoid, quadriceps) rather than human CNS tissue relevant to ALS-FTD. Additionally, the case/control design is not clearly documented. Therefore it fails the requirement for CNS tissue and cannot be confidently included.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: The study used gene expression microarrays on human-derived samples (RNA array assay), matching human microarray expression profiling.","No | evidence: Description: characteriz[ation] of transcriptional programs in monocyte-derived DCs in vitro in response to vaccines and ligands; no mention of ALS, FTD, or neurodegenerative disease; Organism part and Disease: Not found. | justification: The study focuses on vaccine-induced transcriptional responses in immune cells, not on ALS-FTD.","No | evidence: Description: monocyte-derived DCs (moDCs) and monocytes stimulated in vitro; Experimental Factors source characteristics: Organism part: Not found; samples are blood-derived immune cells. | justification: Samples are peripheral immune cells cultured in vitro, not human brain/CNS tissue.","Yes | evidence: Description: 'monocyte-derived DCs (moDCs) in vitro' and cells stimulated by vaccines/LPS; samples are cultured cell populations (IL4 DC, monocytes) from donors. | justification: The dataset uses patient/donor-derived primary cells cultured and stimulated in vitro, which meets the exclusion criterion for in vitro models.","No | evidence: Samples: Experimental Designs: Not found; Experimental Factors: concentration, culture conditions, cell population, donor id; Description describes stimulated vs media controls rather than disease case/control groups. | justification: The study compares stimulated cells to media controls (experimental conditions) and lacks a clinical case vs healthy control disease-group design.","No | evidence: Organism part: Not found; sample descriptions refer to monocytes and monocyte-derived DCs, not any brain region. | justification: No brain/CNS regions are sampled at all, so the question of irrelevant brain region sampling does not apply.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The technology is microarray-based transcription profiling, which is compatible with the inclusion requirement (not RNA-seq or proteomics).","justification: Exclude. Although the dataset is human microarray transcription profiling (meets criterion 1 and technology is compatible), it does not pertain to ALS-FTD (fails criterion 2), does not involve human CNS/brain tissue (fails criterion 3), uses patient/donor-derived cells cultured and stimulated in vitro (triggers exclusion criterion 4), and lacks a clinical case/control design (triggers exclusion criterion 5). Therefore it should not be included.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens; Assay by Molecule: RNA assay. | justification: Human RNA expression profiling was performed using microarray technology.,"No | evidence: Title/Description: Transcription profiling of human B cells at four consecutive stages of B cell development; Disease fields: Not found. | justification: Study concerns B cell developmental stages with no mention of ALS, FTD, or related neurodegenerative disease.","No | evidence: Description: Cells were purified by FACS from human bone marrow samples; Source characteristics: Organism part not CNS; cell type: B cells. | justification: Samples are bone marrow–derived B cells, not brain or CNS tissue.",No | evidence: Description indicates primary cells sorted from human bone marrow (FACS); no indication of cell lines or in vitro disease models. | justification: Samples are primary sorted cells rather than patient-derived cell lines or experimental disease models.,"No | evidence: Experimental design: Cells sorted by developmental stage (PB1, PB2, LAR, SMA); Experimental factors: Not found; no case/control or disease vs control grouping described. | justification: Study compares B cell developmental stages rather than cases versus controls for a disease.",Yes | evidence: Samples originate from bone marrow B cells (no brain/CNS tissue sampled). | justification: No CNS regions are sampled; tissue is irrelevant to ALS-FTD neurodegeneration.,"No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Study type: transcription profiling by array. | justification: Platform is microarray-based expression profiling, which is compatible with inclusion criteria.","justification: Exclude: although this is human microarray expression data, the study does not concern ALS-FTD, does not sample CNS tissue, and is not a case/control disease study. Therefore it does not meet key inclusion criteria.",No,No,False,,,,,,,,,
