custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Affymetrix U133A chips | justification: Human gene expression measured using microarray technology.,"No | evidence: Study title and description focus on coronary artery disease, not ALS-FTD. | justification: Disease context is CAD, not ALS-FTD.","No | evidence: Samples are circulating leukocytes (peripheral blood), not CNS tissue. | justification: Tissue source is blood rather than brain.","No | evidence: Study uses patient blood samples, not in vitro cell lines or models. | justification: Direct clinical samples from patients.",Yes | evidence: 110 CAD patients (cases) compared to 112 controls. | justification: Parallel group design with cases and controls.,No | evidence: No brain/CNS regions sampled. | justification: Tissue source is peripheral blood.,No | evidence: Platform: Affymetrix U133A microarray. | justification: Compatible microarray profiling technology.,"justification: Dataset is not related to ALS-FTD and does not involve CNS tissue, thus it fails inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; human U133 plus 2.0 GeneChip hybridization | justification: This is an Affymetrix microarray study profiling human RNA.,"No | evidence: Title and study focus on cryptorchidism, not ALS or FTD | justification: The dataset investigates fertility in cryptorchid boys, unrelated to ALS-FTD.","No | evidence: Organism part: total testicular | justification: Samples are from testicular tissue, not CNS.","No | evidence: Samples are tissue biopsies from patients, not in vitro cell lines or animal models | justification: The study uses ex vivo human tissue rather than cell lines or models.",Yes | evidence: Samples from cryptorchid boys and age‐matched controls | justification: Comparative design with disease and control groups.,"Yes | evidence: Organism part: total testicular | justification: Tissue is non‐CNS (testis), irrelevant to ALS‐FTD neurodegeneration.","No | evidence: Technology: Array assay; human U133 plus 2.0 GeneChip | justification: Study uses standard microarray, compatible with inclusion.","justification: Although this is a human microarray case/control study, it neither involves ALS‐FTD nor CNS tissue; hence it fails the target disease and tissue criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Uses array-based RNA expression profiling on human cells,Yes | evidence: Profiling wt SOD versus ALS SOD1(G93A) mutant | justification: SOD1(G93A) is an ALS-linked mutation,"No | evidence: Cell line: neuroblastoma SH-SY5Y | justification: Samples are from an in vitro cell line, not CNS tissue",Yes | evidence: Cell line: neuroblastoma SH-SY5Y stably transfected | justification: Uses a patient‐derived in vitro model system,Yes | evidence: Five wt SOD versus five mutant SOD | justification: Direct comparison between control (wt) and mutant groups,No | evidence: No brain region specified | justification: Not applicable—no tissue sampling,"No | evidence: Study type: transcription profiling by array | justification: Technology is microarray, which is compatible","justification: Although it is a human microarray study of ALS-relevant mutants with case/control design, it uses an in vitro neuroblastoma cell line rather than patient CNS tissue, so it fails inclusion criterion 3 and violates exclusion criterion 4.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: Study uses a DNA-DNA hybridization microarray for bacterial 16S rRNA genes | justification: This is a microbial species profiling array, not a human gene expression microarray","No | evidence: Disease state: periodontitis | justification: The study focuses on periodontal disease, not ALS-FTD","No | evidence: Samples: gingival crevicular fluid, subgingival plaque | justification: Samples derive from oral sites, not CNS tissue",No | evidence: Samples taken directly from patients | justification: No in vitro cell lines or disease models are used,No | evidence: 17 subjects with periodontal disease; no healthy control group mentioned | justification: Study lacks a clear case versus control comparison,"Yes | evidence: Samples are from oral fluid and subgingival sites, not brain regions | justification: Non-CNS sampling is outside regions relevant to ALS-FTD","No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: Microarray technology is compatible, though not for human gene expression","justification: The dataset is microbial rather than human CNS expression profiling, targets periodontitis instead of ALS-FTD, and lacks relevant tissue and case/control design, thus it fails multiple inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Description: ‘We used Affymetrix microarrays to detail the global gene expression profiles…’ | justification: Dataset uses microarray technology (Affymetrix) to profile RNA from human cells,"No | evidence: Disease: Not found; study focuses on colon cancer and mouse fibroblasts | justification: No mention of ALS, FTD or related pathology",No | evidence: Samples: mouse ileum/colon myofibroblasts and human colon cancer cells; no CNS tissue | justification: No brain or CNS regions sampled,"Yes | evidence: Experimental Factors: CELL LINE (T84, Caco2); cultured cells in xenografts | justification: Involves cell lines and mouse xenograft model, not primary patient tissue",No | evidence: Study design: profiling of interacting fibroblasts and cancer cells; no case vs control groups | justification: No clinical case/control comparison,"No | evidence: No brain regions sampled | justification: Dataset does not include any CNS regions, so no irrelevant region issue",No | evidence: Technology: Array assay by RNA; Affymetrix microarrays | justification: Technology is compatible microarray profiling,"justification: Excluded: not related to ALS-FTD, no human CNS tissue, and uses in vitro/xenograft models rather than clinical samples",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: Technology: NanoString nCounter miRNA expression assay | justification: This is a NanoString digital miRNA assay, not a human microarray expression profiling experiment.","Yes | evidence: Samples include Sporadic amyotrophic lateral sclerosis (SALS) subjects | justification: The dataset includes human ALS (Sporadic amyotrophic lateral sclerosis) cases, which pertains to the ALS spectrum.","No | evidence: Cell type: CD14+CD16- monocytes from peripheral blood | justification: Samples are blood‐derived monocytes, not CNS or brain tissue.","No | evidence: Organism: Homo sapiens; Cell type: CD14+CD16- monocytes | justification: This dataset uses primary human blood monocytes, not patient‐derived in vitro cell lines or animal models.","Yes | evidence: Groups: Sporadic ALS (n=8), MS (n=8), healthy control (n=8) | justification: The study compares cases (ALS) to controls (healthy subjects) in a case/control design.","No | evidence: Samples are peripheral blood monocytes | justification: No brain regions are sampled, so there are no irrelevant CNS regions in this dataset.","Yes | evidence: NanoString nCounter miRNA expression assay | justification: NanoString is not a microarray platform (it is a digital hybridization assay), making it incompatible with microarray expression profiling criteria.","justification: The dataset does not use human microarray technology, does not sample CNS tissue, and employs NanoString miRNA profiling; it fails multiple inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay (human microRNA Microarray Kit Agilent) | justification: Dataset uses microarray for human miRNA expression profiling,"No | evidence: Title and description refer to medullary thyroid carcinoma, not ALS-FTD | justification: Disease context is thyroid cancer, not ALS or FTD","No | evidence: Source Characteristics: Organism part: thyroid | justification: Samples are from thyroid tissue, not CNS","No | evidence: Samples are matched tumor and adjacent normal thyroid tissues from patients | justification: Tissue samples are clinical patient specimens, not cell lines or models",Yes | evidence: Matched tumor and adjacent normal tissue were obtained from 24 patients | justification: Design includes comparison of case (tumor) and control (adjacent normal) samples,Yes | evidence: Organism part: thyroid | justification: Thyroid is not a CNS region affected in ALS-FTD,"No | evidence: Technology: Array assay; Assay by Molecule: RNA assay | justification: Platform is microarray, which is compatible","justification: Although the dataset uses human microarray expression profiling and a case/control design, it studies thyroid carcinoma tissue unrelated to ALS-FTD and does not involve CNS samples; therefore it fails disease and tissue criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Uses microarray-based transcription profiling on human samples,Yes | evidence: Title: Gene expression analysis of ALS skeletal muscle | justification: Focuses on amyotrophic lateral sclerosis (ALS) pathology,"No | evidence: Organism part: deltoid, quadriceps | justification: Samples are skeletal muscle, not CNS tissue","No | evidence: Source characteristics indicate human muscle biopsies | justification: Uses patient tissue, not in vitro cell lines or disease models",Unclear | evidence: Experimental Factors include DISEASE STATUS | justification: Disease status is noted but explicit case vs. control grouping details are not provided,"Yes | evidence: Organism part: deltoid, quadriceps | justification: Muscle regions are not affected by ALS-FTD neurodegeneration","No | evidence: Technology: Array assay; Assay by Molecule: RNA | justification: Microarray-based, compatible with inclusion criteria","justification: Excluded because samples are from skeletal muscle, not CNS regions relevant to ALS-FTD",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Uses human samples assayed by gene expression microarrays,"No | evidence: Description mentions vaccines and dendritic cells, no reference to ALS or FTD | justification: Not related to amyotrophic lateral sclerosis or frontotemporal dementia",No | evidence: Samples are monocyte-derived dendritic cells and monocytes in vitro | justification: No human brain or CNS tissue samples involved,"Yes | evidence: Experimental Factors: culture conditions, cell population; Samples: monocyte-derived DCs in vitro | justification: Uses patient‐derived in vitro immune cell cultures, not direct clinical tissue","No | evidence: Design compares stimulated vs media controls, not ALS vs healthy controls | justification: No clinical case/control groups for ALS-FTD","Yes | evidence: No CNS regions sampled | justification: Samples are immune cells, not any brain region relevant or irrelevant",No | evidence: Technology: microarray expression profiling | justification: Consistent with inclusion but other criteria fail,"justification: Fails disease target (ALS-FTD), tissue origin (CNS), and clinical case/control criteria; thus excluded",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: Dataset uses human RNA microarray expression profiling,"No | evidence: No mention of ALS, FTD, or neurodegenerative disease; study focuses on B-cell development | justification: Not related to ALS-FTD","No | evidence: Source tissue: human bone marrow B cells; no CNS or brain samples | justification: Samples are peripheral immune cells, not CNS tissue","No | evidence: Cells sorted directly from human bone marrow by FACS | justification: Primary cells, not patient-derived in vitro lines or disease models",No | evidence: Design: profiling at four developmental stages of B cells; no case/control groups | justification: No disease vs. control comparison,"No | evidence: No brain regions sampled | justification: Not applicable, as dataset does not include CNS tissue",No | evidence: Technology: microarray; Molecule: RNA | justification: Compatible with microarray profiling requirement,"justification: Exclusion: unrelated disease (B-cell development), non-CNS tissue, lacks case/control design; does not meet ALS-FTD CNS microarray criteria",No,No,False,,,,,,,,,
